Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,270/RED/TE/26-27dt-28.04.26,2026_REDUP_1150371_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Er Narendra Chaudhary,,"30,000",Yes,fixed,,Nil,Nil,19-May-2026 09:00 AM,25-May-2026 12:30 PM,19-May-2026 09:00 AM,25-May-2026 12:00 PM,NA ,NA ,19-May-2026 09:00 AM,25-May-2026 12:00 PM,04-Jun-2026 12:20 PM,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"2,384",Nil,Nil,No,Gram Panchyat Melaramkuwar me Thakur Ji Minder se Vijay Shankar Ke Ghar tak CC Road k Nirman karye,Gram Panchyat Melaramkuwar me Thakur Ji Minder se Vijay Shankar Ke Ghar tak CC Road k Nirman karye,Plz Rrefer DOc ,NA ,"15,12,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED OFFICE UNNAO,No ,No,AOC,Technical,summary,Narendra chaudhary,04-Jun-2026 12:17 PM,technical_2154019.pdf,ER Narendra Chaudhary,Internal,,Narendra chaudhary,19-Jun-2026 12:24 PM,finsummary_2154019.pdf (1179.92 KB),Finance,Summmary,Narendra chaudhary,19-Jun-2026 12:22 PM,finance_2154019.pdf,BOQ Comparative Chart,Er Narendra Chaudhary,Internal,,Narendra chaudhary,04-Jun-2026 12:19 PM,04-Jun-2026 12:20 PM,techsummary_2154019.pdf (489.41 KB),19-Jun-2026,"INR 1,511,404.02",90.0,Narendra chaudhary,19-Jun-2026 12:26 PM,Shankar0004.pdf (1180.00 KB),l1,1,6138488,M/S DIPTI KATIYAR,24-May-2026 01:33 PM,Accepted-AOC,l1,19-Jun-2026 12:26 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1150371_7,270/RED/TE/26-27dt-28.04.26,Gram Panchyat Melaramkuwar me Thakur Ji Minder se Vijay Shankar Ke Ghar tak CC Road k Nirman karye,1.0,6138488.0,M/S DIPTI KATIYAR,INR,"1,511,404.02",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6139345,M/S SUNIL KUNAR,25-May-2026 08:04 AM,Rejected-AOC,l2,19-Jun-2026 12:26 PM,,,,,,,,,,AOC
