Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,186/NP/NV/15VA/2026-27,2026_DOLBU_1147496_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,3.npp sandila w23 me kamaruddin ke makan se mohd tayyab ke makan se meraj ahmad ke makan se karamat ali tak va nishu singh ke makan se azad ke makn se baba ke makan tak va nali va cc road nirman karya,3.npp sandila w23 me kamaruddin ke makan se mohd tayyab ke makan se meraj ahmad ke makan se karamat ali tak va nishu singh ke makan se azad ke makn se baba ke makan tak va nali va cc road nirman karya,Please refer Tender documents. ,NA ,"22,91,432",Civil Works,NA ,Tender,90.0,90.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,12-May-2026 11:00 AM,09-Jun-2026 11:00 AM,12-May-2026 11:00 AM,08-Jun-2026 05:00 PM,NA ,NA ,12-May-2026 11:00 AM,08-Jun-2026 05:00 PM,09-Jun-2026 02:10 PM,1.0,Fee/PreQual/Technical,.pdf,tech,1,DD - Demand Draft,"2,292",adhishashi adhikari nagar palika parishad,sandila,No,"1,94,500",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,EO and JEsandila,sandila,1.0,date extend and condition apply,Date,,AOC,Technical,2 ADMITTED,Shiv Kumar,09-Jun-2026 01:55 PM,,eo and je,Internal,,Shiv Kumar,09-Jun-2026 02:47 PM,finsummary_2146749.pdf (400.39 KB),Finance,SANJAY TIWARI CONTRACTOR WINNER,Shiv Kumar,09-Jun-2026 02:44 PM,,BOQ Comparative Chart,eo and je,Internal,,Shiv Kumar,09-Jun-2026 02:03 PM,09-Jun-2026 02:10 PM,techsummary_2146749.pdf (747.46 KB),09-Jun-2026,"INR 2,099,869.27",90.0,Shiv Kumar,09-Jun-2026 02:49 PM,COMP3.pdf (400.00 KB),1.0,6179050.0,M/S ABDUL MOIZ CONTRACTOR,08-Jun-2026 01:05 PM,Rejected-AOC,L2,09-Jun-2026 02:49 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1147496_1,186/NP/NV/15VA/2026-27,3.npp sandila w23 me kamaruddin ke makan se mohd tayyab ke makan se meraj ahmad ke makan se karamat ali tak va nishu singh ke makan se azad ke makn se baba ke makan tak va nali va cc road nirman karya,1.0,6159247.0,M/S SANJAY TIWARI CONTRACTOR,INR,"2,099,869.27",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6159247.0,M/S SANJAY TIWARI CONTRACTOR,01-Jun-2026 02:58 PM,Accepted-AOC,L1,09-Jun-2026 02:49 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
