EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"3,20,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"2,780",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",Greater Noida Industrial Development Authority,SM/(E-TENDER CELL)/2025/691 DATED-31.12.2025,2026_GNIDA_1103550_20,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,05-Jan-2026 06:55 PM,16-Jan-2026 11:00 AM,05-Jan-2026 06:55 PM,14-Jan-2026 05:00 PM,NA ,NA ,05-Jan-2026 06:55 PM,14-Jan-2026 05:00 PM,10-Mar-2026 11:00 AM,SM_TENDER CELL,GNIDA OFFICE,"Maintenance work of Sector (Surface dressing, Jungle cleaning, drain cleaning and repairing, Road marking, painting and other miscellaneous work) for three years of sector Ecotech-7, Greater Noida","Maintenance work of Sector (Surface dressing, Jungle cleaning, drain cleaning and repairing, Road marking, painting and other miscellaneous work) for three years of sector Ecotech-7, Greater Noida",REFER TENDER DOCUMENT ,NA ,"1,59,64,469",Civil Works,MAINTENANCE WORK ,Tender,90.0,1095.0,GREATER NOIDA,201310.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,AOC,ACEO_SY,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,NAROTTAM SINGH,21-May-2026 04:36 PM,finsummary_2035379.pdf (254.21 KB),Finance,UNDER EVALUATION,NAROTTAM SINGH,10-Mar-2026 12:21 PM,,BOQ Comparative Chart,1.0,5803289.0,tryambak construction,INR,"10,051,229.8",1,5803950,M/S L S BUILDERS,14-Jan-2026 02:56 PM,Rejected-Technical,DIS-QUALIFIED,09-Mar-2026 07:03 PM,Greater Noida Industrial Development Authority,2026_GNIDA_1103550_20,SM/(E-TENDER CELL)/2025/691 DATED-31.12.2025,"Maintenance work of Sector (Surface dressing, Jungle cleaning, drain cleaning and repairing, Road marking, painting and other miscellaneous work) for three years of sector Ecotech-7, Greater Noida",ACEO_SY,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,NAROTTAM SINGH,09-Mar-2026 07:03 PM,10-Mar-2026 11:00 AM,techsummary_2035379.pdf (229.41 KB),15-Jun-2026,"INR 10,051,229.8",1095.0,NAROTTAM SINGH,15-Jun-2026 11:12 AM,50033.pdf (483.00 KB),AWARD LETTER,Technical,UNDER EVALUATION,NAROTTAM SINGH,16-Jan-2026 11:36 AM,,AOC
,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,5802917,M/S MAA VAISHNO CONSTRUCTION,14-Jan-2026 03:06 PM,Rejected-Finance,L3,21-May-2026 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,5803905,M/S SATTWA RATHI AND ASSOCIATES,14-Jan-2026 03:23 PM,Rejected-Finance,L4,21-May-2026 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,5803176,M/S SHRI SAI CONSTRUCTION,14-Jan-2026 12:40 PM,Rejected-Technical,DIS-QUALIFIED,09-Mar-2026 07:03 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,5802988,PRANIT BUILDERS PRAVITE LIMTIED,14-Jan-2026 10:29 AM,Rejected-Finance,L2,21-May-2026 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,5803289,tryambak construction,14-Jan-2026 04:27 PM,Accepted-AOC,L1,15-Jun-2026 11:12 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
