S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Name,Address,Tender Stage
1.0,5988728.0,ENVIROMECH DREDGING INDIA PRIVATE LIMITED,INR,"9,131,940",U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur,2026_UPIDM_1124982_1,45/SE/IWC1K/2025-26,DREDGING WORK FOR THE RIVER TRAINING WORK BY CHANNELIZATION TO PROTECT VILL- MAURAHWA AND OTHER GROUP OF VILLAGES SITUATED AT LEFT BANK OF GHAGHARA RIVER IN DIST- BAHRAICH,1,5988728,ENVIROMECH DREDGING INDIA PRIVATE LIMITED,19-Mar-2026 03:39 PM,Accepted-AOC,Agreement has been signed.,04-Jun-2026 11:05 AM,27-Mar-2026,"INR 9,131,940",90.0,Vijay Kumar,04-Jun-2026 11:05 AM,tn45.pdf (580.00 KB),AOC,SE,Internal,,Vijay Kumar,25-Mar-2026 02:57 PM,25-Mar-2026 03:00 PM,techsummary_2096686.pdf (488.41 KB),Finance,All Bidder successfully admitted,Vijay Kumar,25-Mar-2026 03:45 PM,,BOQ Comparative Chart,SE,Internal,,Vijay Kumar,25-Mar-2026 03:49 PM,finsummary_2096686.pdf (488.41 KB),Technical,All Bidder successfully admitted.,Vijay Kumar,25-Mar-2026 12:38 PM,,AOC,"1,96,000",No,fixed,,Nil,Nil,DREDGING WORK FOR THE RIVER TRAINING WORK BY CHANNELIZATION TO PROTECT VILL- MAURAHWA AND OTHER GROUP OF VILLAGES SITUATED AT LEFT BANK OF GHAGHARA RIVER IN DIST- BAHRAICH,DREDGING WORK FOR THE RIVER TRAINING WORK BY CHANNELIZATION TO PROTECT VILL- MAURAHWA AND OTHER GROUP OF VILLAGES SITUATED AT LEFT BANK OF GHAGHARA RIVER IN DIST- BAHRAICH,Please refer Tender documents. ,NA ,"97,85,000",Miscellaneous Works,NA ,Rate Contract,90.0,90.0,Ghaghra River District Baharaich,271801.0,NA ,NA ,NA ,SE OFFICE 67 A CANTT KANPUR NAGAR,No ,No,U P Irrigation Department (Mechanical)||Central Equipment and Stores Procurement||S E Irrigation Workshop Circle - I Kanpur,45/SE/IWC1K/2025-26,2026_UPIDM_1124982_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bid Document,1.0,DATE CORRIGENDUM,Date,,"2,360",Nil,Nil,No,13-Mar-2026 02:10 PM,24-Mar-2026 02:00 PM,13-Mar-2026 02:10 PM,24-Mar-2026 12:00 PM,NA ,NA ,13-Mar-2026 02:10 PM,24-Mar-2026 12:00 PM,25-Mar-2026 03:00 PM,1.0,SBI Bank,SE,SE OFFICE 67 A CANTT KANPUR NAGAR,AOC
,,,,,,,,,2,5982641,Greensun Connect Private Limited,19-Mar-2026 06:20 PM,Rejected-Finance,2nd lowest,25-Mar-2026 03:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,2.0,Other corrigendum,Other,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6000123,IMPERIAL INFRASTRUCUTRE & DREDGING PRIVATE LIMITED,24-Mar-2026 10:46 AM,Rejected-Finance,3rd lowest,25-Mar-2026 03:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
