Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD - 36 Jaunpur",01/AEIV/2026-27 Lot 17,2026_UPIDC_1151556_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,679.0,Nil,Nil,No,23-May-2026 11:00 AM,30-May-2026 02:00 PM,23-May-2026 11:00 AM,30-May-2026 01:00 PM,NA ,NA ,23-May-2026 11:00 AM,30-May-2026 01:00 PM,01-Jun-2026 09:00 AM,ASSISTANT ENGINEER IV SSK36 JAUNPUR,ASSISTANT ENGINEER IV SSK36 JAUNPUR,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Technical,"3,320",Yes,fixed,,Nil,Nil,EARTH WORK IN CLEARANCE OF KOHADA DRAIN FROM KM. 0.000 TO KM. 1.800,EARTH WORK IN CLEARANCE OF KOHADA DRAIN FROM KM. 0.000 TO KM. 1.800,Please refer Tender documents. ,NA ,"1,66,000",Civil Works,NA ,Tender,90.0,10.0,ASSISTANT ENGINEER IV SSK36 JAUNPUR,222002.0,NA ,NA ,NA ,ASSISTANT ENGINEER IV SSK36 JAUNPUR,No ,No,AOC,NARSINGH RAM,Internal,,Narsingh Ram,31-May-2026 03:47 PM,01-Jun-2026 09:00 AM,techsummary_2156957.pdf (196.12 KB),Finance,ok,Narsingh Ram,30-Jun-2026 12:00 PM,finance_2156957.pdf,BOQ Comparative Chart,NARSINGH RAM,Internal,,Narsingh Ram,30-Jun-2026 12:02 PM,finsummary_2156957.pdf (199.71 KB),Technical,ok,Narsingh Ram,31-May-2026 03:08 PM,technical_2156957.pdf,"U P Irrigation Department (Civil)||Chief Engineer-Sharda Sahayak, Lucknow||XIV Circle Irrigation Works, Azamgarh||SSD - 36 Jaunpur",2026_UPIDC_1151556_1,01/AEIV/2026-27 Lot 17,EARTH WORK IN CLEARANCE OF KOHADA DRAIN FROM KM. 0.000 TO KM. 1.800,1.0,6152453.0,SUSHIL KUMAR SINGH,INR,"77,844.025",1,6152685,KAMAL NARAYAN SINGH,29-May-2026 08:02 PM,Rejected-Finance,L2,30-Jun-2026 12:02 PM,30-Jun-2026,"INR 77,844.025",10.0,Narsingh Ram,30-Jun-2026 12:03 PM,17.pdf (387.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6152453,SUSHIL KUMAR SINGH,29-May-2026 06:51 PM,Accepted-AOC,l1,30-Jun-2026 12:03 PM,,,,,,,AOC
