Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Construction work of Community Center in Village Madhau Nagar, pargna talgram tehsil chhibramau District Kannauj, under the Integrated Development Scheme.","Construction work of Community Center in Village Madhau Nagar, pargna talgram tehsil chhibramau District Kannauj, under the Integrated Development Scheme.",Please refer Tender documents. ,NA ,"49,25,000",Civil Works - Buildings,as per BOQ ,Tender,90.0,300.0,Madhau Nagar Kannauj,209733.0,NA ,NA ,NA ,Kannauj,No ,No,"2,360",UPSCIDCO LTD,KANNAUJ,No,"Babu Ram, Executive Engineer",Dak Bangla Road Saraimeera Kannauj,1,Fee/PreQual/Technical,.pdf,Tender fee and Earnest money receipt with prequalification bid and documents,"1,00,000",No,fixed,,UPSCIDCO LTD,KANNAUJ,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,70/EE/Kannauj/Etender/2026-27 Date-16.05.2026,2026_SCIDC_1149820_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,18-May-2026 02:00 PM,27-May-2026 04:00 PM,18-May-2026 02:00 PM,27-May-2026 02:00 PM,NA ,NA ,18-May-2026 02:00 PM,27-May-2026 02:00 PM,03-Jun-2026 01:15 PM,AOC,Executive Engineer,Internal,,Shiva nand Dubey,03-Jun-2026 05:42 PM,finsummary_2152908.pdf (359.62 KB),Technical,Technical,Shiva nand Dubey,03-Jun-2026 01:08 PM,technical_2152908.pdf,Executive Engineer,Internal,,Shiva nand Dubey,03-Jun-2026 01:11 PM,03-Jun-2026 01:15 PM,techsummary_2152908.pdf (359.52 KB),Finance,Financial,Shiva nand Dubey,03-Jun-2026 05:19 PM,finance_2152908.pdf,BOQ Comparative Chart,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,2026_SCIDC_1149820_1,70/EE/Kannauj/Etender/2026-27 Date-16.05.2026,"Construction work of Community Center in Village Madhau Nagar, pargna talgram tehsil chhibramau District Kannauj, under the Integrated Development Scheme.",1.0,6142165.0,SAI INFRATECH,INR,"4,920,075",1,6144896,DEVKINANDAN NIRMAN PRIVATE LIMITED,27-May-2026 11:43 AM,Rejected-Finance,L2,03-Jun-2026 05:42 PM,04-Jun-2026,"INR 4,920,075",300.0,Shiva nand Dubey,12-Jun-2026 02:03 PM,LOImadhau.pdf (275.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6142165,SAI INFRATECH,26-May-2026 12:36 AM,Accepted-AOC,L1,12-Jun-2026 02:03 PM,,,,,,,,AOC
