Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Executive Engineer,RCD rampur,354.0,Nil,Nil,No,27-May-2026 09:00 AM,02-Jun-2026 12:00 PM,27-May-2026 09:00 AM,02-Jun-2026 12:00 PM,NA ,NA ,27-May-2026 09:00 AM,02-Jun-2026 12:00 PM,04-Jun-2026 04:00 PM,lot 27,lot 27,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,20.0,rampur,244901.0,NA ,NA ,NA ,RCD rampur,No ,No,"16,000",No,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,NIT,"U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||RCD, rampur",01/EE/2026-27,2026_UPIDC_1151316_24,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,AOC,EE,Internal,,Naveen Kumar Singh,18-Jun-2026 11:26 AM,finsummary_2162243.pdf (288.17 KB),Finance,financial,Naveen Kumar Singh,06-Jun-2026 11:46 AM,,BOQ Comparative Chart,1.0,6153978.0,MAHENDRA SINGH,INR,"759,921.3","U P Irrigation Department (Civil)||Chief Engineer-Eastern Ganga, Moradabad||Irrigation Works Circle, Moradabad||RCD, rampur",2026_UPIDC_1151316_24,01/EE/2026-27,lot 27,1,6153978,MAHENDRA SINGH,30-May-2026 11:45 AM,Accepted-AOC,1,19-Jun-2026 05:13 PM,19-Jun-2026,"INR 759,921.3",20.0,Naveen Kumar Singh,19-Jun-2026 05:14 PM,27.pdf (288.00 KB),Technical,technical,Naveen Kumar Singh,03-Jun-2026 03:28 PM,,EE,Internal,,Naveen Kumar Singh,04-Jun-2026 12:57 PM,04-Jun-2026 04:00 PM,techsummary_2162243.pdf (290.10 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6153823,M/S RAJEEV KUMAR,30-May-2026 06:50 PM,Rejected-AOC,2,19-Jun-2026 05:13 PM,,,,,,,,,,,,,,,,,,,AOC
