Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
30-Jun-2026,"INR 51,974,211.01",180.0,PRABHAT SHANKAR,30-Jun-2026 07:23 PM,60511.pdf (348.00 KB),AWARD LETTER,Technical,UNDER EVALUATION,PRABHAT SHANKAR,23-Mar-2026 12:40 PM,,ACEO_SY,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,PRABHAT SHANKAR,28-Apr-2026 06:38 PM,29-Apr-2026 11:00 AM,techsummary_2089317.pdf (135.22 KB),Finance,UNDER EVALUATION,PRABHAT SHANKAR,29-Apr-2026 03:01 PM,,BOQ Comparative Chart,ACEO_SY,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,PRABHAT SHANKAR,18-Jun-2026 12:00 PM,finsummary_2089317.pdf (226.11 KB),1.0,5982182.0,M/S MANOJ CONSTRUCTION CO,INR,"51,974,211.01",Greater Noida Industrial Development Authority,2026_GNIDA_1122182_10,SM/(TENDER CELL)/2026/724 DATED-28.02.2026,"Widening and strengthening of 18m wide road and Construction of RCC drain in Sector-2, Greater Noida.",1,5982182,M/S MANOJ CONSTRUCTION CO,18-Mar-2026 09:13 PM,Accepted-AOC,L1,30-Jun-2026 07:23 PM,AOC,1.0,SBI Bank,"6,770",Nil,Nil,No,"10,64,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",SM_TENDER CELL,GNIDA OFFICE,Greater Noida Industrial Development Authority,SM/(TENDER CELL)/2026/724 DATED-28.02.2026,2026_GNIDA_1122182_10,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"Widening and strengthening of 18m wide road and Construction of RCC drain in Sector-2, Greater Noida.","Widening and strengthening of 18m wide road and Construction of RCC drain in Sector-2, Greater Noida.",REFER TENDER DOCUMENT ,NA ,"5,31,70,548",Civil Works,DEVELOPMENT WORK ,Tender,90.0,180.0,GREATER NOIDA,201310.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,06-Mar-2026 06:55 PM,23-Mar-2026 11:00 AM,06-Mar-2026 06:55 PM,20-Mar-2026 05:00 PM,NA ,NA ,06-Mar-2026 06:55 PM,20-Mar-2026 05:00 PM,29-Apr-2026 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5992620,M/S Rakesh Kumar Contractor,20-Mar-2026 03:55 PM,Rejected-Technical,DIS-QUALIFIED,28-Apr-2026 06:38 PM,AOC,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5984329,M/S VIRAT CONSTRUCTION,18-Mar-2026 05:57 PM,Rejected-Finance,L2,18-Jun-2026 12:00 PM,AOC,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5981512,M/S V.K.Construction,18-Mar-2026 07:57 PM,Rejected-Finance,L3,18-Jun-2026 12:00 PM,AOC,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5984718,PMH ROADTECH PRIVATE LIMITED,20-Mar-2026 03:45 PM,Rejected-Technical,DIS-QUALIFIED,28-Apr-2026 06:38 PM,AOC,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
