Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,30-May-2026 04:40 PM,05-Jun-2026 12:30 PM,techsummary_2147071.pdf (335.45 KB),Technical,Technical bid open,SHUBHAM PARLE,25-May-2026 12:44 PM,,30-Jun-2026,"INR 2,288,476",90.0,SHUBHAM PARLE,30-Jun-2026 03:52 PM,ABC.pdf (666.00 KB),Bond with Anuj Interlocking,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,2026_REDUP_1147099_49,12/RED/Tavrit/26-27/dt-2-4-26,Gudha bangali colony kali mata mandir se subodh haldhar ke makan tak CC interlocking tile work.,1,6116364,ARUN CONSTRUCTIONS,16-May-2026 12:53 PM,Rejected-AOC,L2 Bidder,30-Jun-2026 03:52 PM,1.0,6115449.0,M/S ANUJ INTERLOCKING,INR,"2,288,476",Finance,Finance,SHUBHAM PARLE,30-Jun-2026 03:11 PM,finance_2147071.pdf,BOQ Comparative Chart,EE RED MEERUT DIVISION,Internal,01-EE RED MEERUT DIVISION 02-AE RED MEERUT DIVISION 03-DAO RED MEERUT DIVISION,SHUBHAM PARLE,30-Jun-2026 03:47 PM,finsummary_2147071.pdf (385.23 KB),AOC,944.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Document,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE MEERUT,12/RED/Tavrit/26-27/dt-2-4-26,2026_REDUP_1147099_49,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED MEERUT DIVISION,VIKAS BHAWAN 2ND FLOOR COLLECTORATE MEERUT,1.0,SBI Bank,Gudha bangali colony kali mata mandir se subodh haldhar ke makan tak CC interlocking tile work.,Gudha bangali colony kali mata mandir se subodh haldhar ke makan tak CC interlocking tile work.,Please refer Tender documents. ,NA ,"19,44,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Meerut,250002.0,NA ,NA ,NA ,EE RED MEERUT DIVISION,No ,No,"40,000",No,fixed,,Nil,Nil,14-May-2026 10:00 AM,22-May-2026 12:30 PM,14-May-2026 10:00 AM,21-May-2026 12:00 PM,NA ,NA ,14-May-2026 10:00 AM,21-May-2026 12:00 PM,05-Jun-2026 12:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6115449,M/S ANUJ INTERLOCKING,16-May-2026 02:16 PM,Accepted-AOC,L1 Bidder,30-Jun-2026 03:52 PM,,,,,,,,,,,,,,,,,,AOC,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
