Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
22-Jun-2026,"INR 1,117,093.79",90.0,Girish Chandra Joshi,23-Jun-2026 12:29 PM,Awdhoot1118.pdf (987.00 KB),Attached,1.0,6205802.0,AWDHOOT CONSTRUCTION,INR,"1,117,093.79",U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Lucknow,2026_SCIDC_1160742_1,95/EE/LKO-1/Nidhi/E-Ten/26-27,Haiderganj tritiya ward ke mahm city mein shri neetu shrivastav ke ghar se shri durga mandir hote hue shri kailash ke ghar tak interlaking va naali nirman karya. (vidhayak Nidhi work),1.0,6205802.0,AWDHOOT CONSTRUCTION,18-Jun-2026 11:51 PM,Accepted-AOC,Lowest Rate Accepted,23-Jun-2026 12:29 PM,Finance,Attached,Girish Chandra Joshi,22-Jun-2026 03:18 PM,,BOQ Comparative Chart,Shri Babu Ram,Internal,Attached,Girish Chandra Joshi,22-Jun-2026 02:25 PM,22-Jun-2026 02:30 PM,techsummary_2175406.pdf (707.13 KB),Technical,Attached,Girish Chandra Joshi,22-Jun-2026 02:23 PM,technical_2175406.pdf,Shri Babu Ram,Internal,Attached,Girish Chandra Joshi,22-Jun-2026 03:20 PM,finsummary_2175406.pdf (656.31 KB),AOC,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Tender fee EMD and Document,Executive Engineer,"UPSCIDCO LTD, Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",Haiderganj tritiya ward ke mahm city mein shri neetu shrivastav ke ghar se shri durga mandir hote hue shri kailash ke ghar tak interlaking va naali nirman karya. (vidhayak Nidhi work),Haiderganj tritiya ward ke mahm city mein shri neetu shrivastav ke ghar se shri durga mandir hote hue shri kailash ke ghar tak interlaking va naali nirman karya. (vidhayak Nidhi work),Haiderganj tritiya ward ke mahm city mein shri neetu shrivastav ke ghar se shri durga mandir hote hue shri kailash ke ghar tak interlaking va naali nirman karya. (vidhayak Nidhi work) ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Lucknow,226016.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Lucknow,95/EE/LKO-1/Nidhi/E-Ten/26-27,2026_SCIDC_1160742_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,655",UPSCIDCOLTD,Lucknow,No,"22,000",No,fixed,,UPSCIDCOLTD,Lucknow,15-Jun-2026 05:00 PM,22-Jun-2026 01:00 PM,15-Jun-2026 05:00 PM,22-Jun-2026 12:00 PM,NA ,NA ,15-Jun-2026 05:00 PM,22-Jun-2026 12:00 PM,22-Jun-2026 02:30 PM,AOC
,,,,,,,,,,,,,,,,2.0,6205847.0,MALTI ASSOCIATES,21-Jun-2026 03:33 PM,Rejected-Finance,Quoted Amount Rate in High,22-Jun-2026 03:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,FDR - Fixed Deposit,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
