Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1563/RED/Tender/2025-26,2026_REDUP_1116711_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,944.0,Nil,Nil,No,1.0,SBI Bank,"Construction of Janardan Prasad Mishra Memorial Gate near Kalyanpur Temple on Sitapur-Lakhimpur Road, Block- Hargaon","Construction of Janardan Prasad Mishra Memorial Gate near Kalyanpur Temple on Sitapur-Lakhimpur Road, Block- Hargaon",Please refer Tender documents. ,NA ,"17,90,783",Civil Works,NA ,Tender,90.0,90.0,"Hargaon, Sitapur.",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,"36,000",No,fixed,,Nil,Nil,16-Feb-2026 03:30 PM,21-Feb-2026 04:00 PM,16-Feb-2026 03:30 PM,21-Feb-2026 03:30 PM,NA ,NA ,16-Feb-2026 03:30 PM,21-Feb-2026 03:30 PM,16-Mar-2026 12:30 PM,1,Fee/PreQual/Technical,.pdf,Technical,EE RED Sitapur,"Vikas Bhawan, Sitapur",AOC,Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,16-Mar-2026 04:58 PM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Gyanendra Kumar,12-Mar-2026 05:20 PM,16-Mar-2026 12:30 PM,techsummary_2074220.pdf (339.06 KB),Technical,Two bid have been received and send For Technical Evaluation,Gyanendra Kumar,23-Feb-2026 03:02 PM,,Gyanendra Kumar,Internal,,Gyanendra Kumar,08-Apr-2026 12:56 PM,finsummary_2074220.pdf (524.09 KB),12-May-2026,"INR 1,790,604",90.0,Ravi Pratap Singh,28-Jun-2026 04:58 PM,03.pdf (362.00 KB),1,5896870,Sohi Construction,19-Feb-2026 10:22 PM,Accepted-AOC,L1,28-Jun-2026 04:58 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1116711_4,1563/RED/Tender/2025-26,"Construction of Janardan Prasad Mishra Memorial Gate near Kalyanpur Temple on Sitapur-Lakhimpur Road, Block- Hargaon",1.0,5896870.0,Sohi Construction,INR,"1,790,604",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5896663,SURAJ CONSTRUCTIONS,19-Feb-2026 02:36 PM,Rejected-Finance,Higher Rate Quoted,08-Apr-2026 12:56 PM,,,,,,,,,,AOC
