Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,226/RED/GBN/2025-26/Dt- 10.03.2026,2026_REDUP_1134316_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,17-Apr-2026 09:00 AM,22-Apr-2026 03:30 PM,17-Apr-2026 09:00 AM,22-Apr-2026 12:00 PM,NA ,NA ,17-Apr-2026 09:00 AM,22-Apr-2026 12:00 PM,05-May-2026 12:00 PM,1.0,SBI Bank,766.0,Nil,Nil,No,"19,000",No,fixed,,Nil,Nil,EE RED GBN,EE RED GBN,Construction of Interlocking and Drain work at Mangal Traders to Ram Shahi Gupta house in Tigri.,Construction of Interlocking and Drain work at Mangal Traders to Ram Shahi Gupta house in Tigri.,Civil Work  ,NA ,"9,47,000",Civil Works,NA ,Tender,90.0,90.0,EE RED GBN,201306.0,NA ,NA ,NA ,EE RED GBN,No ,No,1,Fee/PreQual/Technical,.pdf,T1,AOC,1.0,6062265.0,SHISHPAL MALIK,INR,"863,432.86",Finance,Summary,ShashiBhushan Yadav,05-May-2026 03:03 PM,finance_2124461.pdf,BOQ Comparative Chart,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,01-Jun-2026 01:11 PM,finsummary_2124461.pdf (219.18 KB),1,6062042,PUNDRIK PROJECTS,21-Apr-2026 08:28 PM,Rejected-Finance,L2,01-Jun-2026 01:11 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE GAUTAM BHDDH NAGAR,2026_REDUP_1134316_11,226/RED/GBN/2025-26/Dt- 10.03.2026,Construction of Interlocking and Drain work at Mangal Traders to Ram Shahi Gupta house in Tigri.,01-Jun-2026,"INR 863,432.86",90.0,ShashiBhushan Yadav,01-Jun-2026 01:13 PM,Malik.pdf (778.00 KB),Technical,Summary,ShashiBhushan Yadav,30-Apr-2026 05:59 PM,technical_2124461.pdf,SHASHI BHUSHAN YADAV,Internal,,ShashiBhushan Yadav,30-Apr-2026 06:24 PM,05-May-2026 12:00 PM,techsummary_2124461.pdf (219.18 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,2,6062265,SHISHPAL MALIK,22-Apr-2026 08:40 AM,Accepted-AOC,L1,01-Jun-2026 01:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
