S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,SBI Bank,19-Feb-2026 03:00 PM,25-Feb-2026 12:30 PM,19-Feb-2026 03:00 PM,25-Feb-2026 12:00 PM,NA ,NA ,19-Feb-2026 03:00 PM,25-Feb-2026 12:00 PM,11-Mar-2026 12:00 PM,766.0,Nil,Nil,No,160 meter interlocking and drain construction work from Nariya bridge to Rakesh Balmiki house in Redhar of development block Nadigaon,160 meter interlocking and drain construction work from Nariya bridge to Rakesh Balmiki house in Redhar of development block Nadigaon,Please refer Tender documents. ,NA ,"10,33,000",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,JALAUN,284001.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,No ,No,1,Fee/PreQual/Technical,.pdf,A.D,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,"21,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,34/EE/RED/2025-26,2026_REDUP_1117794_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,sheelendra singh,Internal,sharad srivastava anup kumar mishra,SHARAD SRIVASTAVA,07-Mar-2026 03:52 PM,11-Mar-2026 12:00 PM,techsummary_2077281.pdf (1873.25 KB),Finance,FINANCIAL COVER TO BE OPENED,Sheelendra Singh,08-Apr-2026 03:28 PM,finance_2077281.pdf,BOQ Comparative Chart,sheelendra singh,Internal,SHARAD SRIVASTAVA ANUP KUMAR MISHRA,Sheelendra Singh,08-Apr-2026 03:31 PM,finsummary_2077281.pdf (511.81 KB),Technical,technical cover to be opened,SHARAD SRIVASTAVA,07-Mar-2026 03:45 PM,technical_2077281.pdf,1,5922870,M/s Ram Doot Badal,24-Feb-2026 11:15 AM,Rejected-Finance,2ND,08-Apr-2026 03:31 PM,1.0,5917824.0,PRADEEP KUMAR,INR,"1,027,837.67",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,2026_REDUP_1117794_1,34/EE/RED/2025-26,160 meter interlocking and drain construction work from Nariya bridge to Rakesh Balmiki house in Redhar of development block Nadigaon,11-May-2026,"INR 1,027,837.67",90.0,Sheelendra Singh,09-Jun-2026 05:11 PM,CAMETI.pdf (1874.00 KB),bond photo uplode,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5917824,PRADEEP KUMAR,23-Feb-2026 05:03 PM,Accepted-AOC,accepted,09-Jun-2026 05:11 PM,,,,,,,,,,,,,,,,,AOC
