Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,84 /EE Basti /E-Tender /Purvanchal Nidhi Kaptanganj /2025-26 Dated 10 -04-2026,2026_SCIDC_1135668_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,652",UPSCIDCO,BASTI,No,Construction of CC Road work at Narthari Mansurnagar Marg Se Karmhawa Dalit Basti Purwa Tak Block Gaur Distt Basti. ( Purvanchil Nidhi Kaptanganj),Construction of CC Road work at Narthari Mansurnagar Marg Se Karmhawa Dalit Basti Purwa Tak Block Gaur Distt Basti. ( Purvanchil Nidhi Kaptanganj),As Given in NIT ,NA ,"36,35,634",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",17-Apr-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,1,Fee/PreQual/Technical,.pdf,NIT,1,FDR - Fixed Deposit,"73,000",No,fixed,,UPSCIDCO,BASTI,11-Apr-2026 09:00 AM,20-Apr-2026 02:00 PM,11-Apr-2026 09:00 AM,20-Apr-2026 01:00 PM,11-Apr-2026 09:00 AM ,20-Apr-2026 01:00 PM ,11-Apr-2026 09:00 AM,20-Apr-2026 01:00 PM,04-May-2026 06:00 PM,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti",AOC,Technical,M/S BANSHI DHAR PANDEY and M/S BANSHI DHAR AND SONS Found,Ramesh Bahadur Shahi,04-May-2026 03:53 PM,technical_2120404.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,20-Jul-2026 03:39 PM,finsummary_2120404.pdf (462.94 KB),Finance,M/S BANSHI DHAR PANDEY Found L1,Ramesh Bahadur Shahi,20-May-2026 10:35 AM,finance_2120404.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,04-May-2026 03:55 PM,04-May-2026 06:00 PM,techsummary_2120404.pdf (647.02 KB),03-Jun-2026,"INR 3,630,544",90.0,Ramesh Bahadur Shahi,03-Jun-2026 11:30 AM,NarthariLOI.pdf (1129.00 KB),M/s Banshi Dhar pandey Found L1,1,6057761,M/S BANSHI DHAR AND SONS,19-Apr-2026 11:11 PM,Rejected-Finance,L2,20-May-2026 10:37 AM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1135668_1,84 /EE Basti /E-Tender /Purvanchal Nidhi Kaptanganj /2025-26 Dated 10 -04-2026,Construction of CC Road work at Narthari Mansurnagar Marg Se Karmhawa Dalit Basti Purwa Tak Block Gaur Distt Basti. ( Purvanchil Nidhi Kaptanganj),1.0,6057723.0,M/S BANSHI DHAR PANDEY,INR,"3,630,544",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6057723,M/S BANSHI DHAR PANDEY,20-Apr-2026 09:24 AM,Accepted-AOC,L1,03-Jun-2026 11:30 AM,,,,,,,,,,AOC
