EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"1,07,500",No,fixed,,EO,MOHAMMADI,1,DD - Demand Draft,NPPM_57_(7)_2026_27,WARD NO-3 MOHALLA BHANPUR BANWARI MAI GATA SANKHYA -218 MAI TALAB KA SAUNDRIYA KARAN KARYA,Please refer Tender documents. ,NA ,"53,74,000",Civil Works,NA ,Tender,30.0,NA ,NPP MOHAMMADI,262804.0,NA ,NA ,NA ,NPP MOHAMMADI,No ,No,EO,NPP MOHAMMADI,Directorate of Local Bodies UP||Nagar Palika Parishad Mohammdi Lakhimpur,NPPM_57_(7)_2026_27,2026_DOLBU_1145334_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,05-May-2026 11:00 AM,30-May-2026 03:00 PM,05-May-2026 11:00 AM,30-May-2026 11:30 AM,NA ,NA ,05-May-2026 11:00 AM,30-May-2026 11:30 AM,10-Jun-2026 04:30 PM,"12,744",EO,MOHAMMADI,No,1.0,Fee/PreQual/Technical,.pdf,nit,AOC,Finance,TENDER OPPENING FINANCIAL SUMMARY,jagdeo prasad,11-Jun-2026 03:25 PM,finance_2140835.pdf,BOQ Comparative Chart,SANDEEP MEHROTRA,Internal,J.P MAURYA (EO) SATISH CHANDRA MAURYA (JE) SHIVNANDAN RASHTOGI (ACCOUNTANT),jagdeo prasad,10-Jun-2026 04:27 PM,10-Jun-2026 04:30 PM,techsummary_2140835.pdf (522.98 KB),Technical,TECHNICAL BID OPPENING SUMMARY....,jagdeo prasad,10-Jun-2026 02:26 PM,technical_2140835.pdf,SANDEEP MEHROTRA,Internal,JP MAURYA (EO) SATISH CHANDRA MAURYA (JE) SHIVNANDAN RASHTOGI (ACCOUNTANT),jagdeo prasad,11-Jun-2026 03:28 PM,finsummary_2140835.pdf (1059.82 KB),20-Jun-2026,"INR 5,374,000",60.0,jagdeo prasad,23-Jun-2026 03:54 PM,7A.pdf (708.00 KB),WORK ORDER,Directorate of Local Bodies UP||Nagar Palika Parishad Mohammdi Lakhimpur,2026_DOLBU_1145334_1,NPPM_57_(7)_2026_27,NPPM_57_(7)_2026_27,1.0,6151492.0,MK ASSOCIATES,INR,"5,374,000",1,6151097,A K ASSOCIATES,29-May-2026 12:12 PM,Rejected-Finance,HIGH,11-Jun-2026 03:28 PM,AOC
,,,,,,2,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6151492,MK ASSOCIATES,29-May-2026 02:08 PM,Accepted-AOC,ALL OK,23-Jun-2026 03:54 PM,AOC
,,,,,,3,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6151260,M/S PUNEET TIWARI TRADERS AND SUPPLIERS,29-May-2026 12:59 PM,Rejected-Finance,HIGH,11-Jun-2026 03:28 PM,AOC
