Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
944.0,Nil,Nil,No,29-Apr-2026 12:00 PM,14-May-2026 12:30 PM,29-Apr-2026 12:00 PM,14-May-2026 12:00 PM,NA ,NA ,29-Apr-2026 12:00 PM,14-May-2026 12:00 PM,22-May-2026 12:00 PM,"Under District Jaunpur, Construction of CC road from Ara Rajbhar Basti to Pal house to Prem Rajbhar house in Block Karanjakala village, Ara, Lot No 26","Under District Jaunpur, Construction of CC road from Ara Rajbhar Basti to Pal house to Prem Rajbhar house in Block Karanjakala village, Ara, Lot No 26",Please refer Tender documents. ,NA ,"23,14,000",Civil Works,NA ,Tender,90.0,NA ,Jaunpur,222001.0,"EE RED Jaunpur, Vikas Bhawan, Jaunpur ","EE RED Jaunpur, Vikas Bhawan, Jaunpur  ",30-Apr-2026 09:00 AM ,"EE RED Jaunpur, Vikas Bhawan, Jaunpur",No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2378/EE RED Jaunpur/25-26 Dt 30/03/2026,2026_REDUP_1143413_26,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"46,280",No,percentage,2.0%,Nil,Nil,1.0,SBI Bank,"EE RED Jaunpur, Vikas Bhawan, Jaunpur","EE RED Jaunpur, Vikas Bhawan, Jaunpur",1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,AOC,Finance,Summary,Neeraj Kumar,23-May-2026 02:27 PM,,BOQ Comparative Chart,Er Neeraj Kumar EE RED Jaunpur,Internal,,JAI PRAKASH,19-Jun-2026 07:51 PM,finsummary_2135905.pdf (191.84 KB),1.0,6102849.0,RUDRANSH ENTERPRISES,INR,"2,730,634",1,6110520,PRAKASH CONSTRUCTION,13-May-2026 12:56 PM,Rejected-Finance,Rejected,19-Jun-2026 07:51 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE JAUNPUR,2026_REDUP_1143413_26,2378/EE RED Jaunpur/25-26 Dt 30/03/2026,"Under District Jaunpur, Construction of CC road from Ara Rajbhar Basti to Pal house to Prem Rajbhar house in Block Karanjakala village, Ara, Lot No 26",Er Neeraj Kumar EE RED Jaunpur,Internal,"Er Neeraj Kumar EE RED Jaunpur, Er Maya Shankar AE RED Jaunpur, Er Alok Kumar AE RED Jaunpur, Mr Jai Prakash DAO RED Jaunpur",Neeraj Kumar,18-May-2026 11:18 AM,22-May-2026 12:00 PM,techsummary_2135905.pdf (167.55 KB),20-Jun-2026,"INR 2,730,634",90.0,Neeraj Kumar,19-Jun-2026 08:59 PM,2378_26.pdf (192.00 KB),Technical,Summary,Neeraj Kumar,14-May-2026 04:42 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),AOC,,,,,,,,,,,,,,,,,,2,6102849,RUDRANSH ENTERPRISES,13-May-2026 10:16 AM,Accepted-AOC,AOC,19-Jun-2026 08:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
