S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,DD - Demand Draft,Executive Officer,Nagar Panchayat Ganjmuradabad Unnao,1.0,Fee/PreQual/Technical,.pdf,Terms And Condition,Directorate of Local Bodies UP||Nagar Panchayat Ganjmooradabad Unnao,34/n.p.g.m./peyjal/2026-27,2026_DOLBU_1144990_17,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"26,790",No,fixed,,Executive Officer,Nagar Panchayat Ganjmuradabad Unnao,"LAYING OF PVC PIPELINE 90 MM DIA FOR WATER SUPPLY FROM ASSU HOUSE TO MUNNI BAAZI HOUSE ,WARD NO-6, NAGAR PANCHAYAT GANJMORADABAD,UNNAO.","LAYING OF PVC PIPELINE 90 MM DIA FOR WATER SUPPLY FROM ASSU HOUSE TO MUNNI BAAZI HOUSE ,WARD NO-6, NAGAR PANCHAYAT GANJMORADABAD,UNNAO.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,Nagar Panchayat Ganjmuradabad Unnao,209868.0,NA ,NA ,NA ,Nagar Panchayat Ganjmuradabad Unnao,No ,No,315.0,Executive Officer,Nagar Panchayat Ganjmuradabad Unnao,No,05-May-2026 02:00 PM,26-May-2026 02:00 PM,05-May-2026 02:00 PM,26-May-2026 12:00 PM,NA ,NA ,05-May-2026 02:00 PM,26-May-2026 12:00 PM,03-Jun-2026 10:00 AM,AOC,1.0,6137490.0,H.I ENTERPRISES,23-May-2026 02:27 PM,Rejected-Finance,High quoted amount,04-Jun-2026 11:28 AM,Directorate of Local Bodies UP||Nagar Panchayat Ganjmooradabad Unnao,2026_DOLBU_1144990_17,34/n.p.g.m./peyjal/2026-27,"LAYING OF PVC PIPELINE 90 MM DIA FOR WATER SUPPLY FROM ASSU HOUSE TO MUNNI BAAZI HOUSE ,WARD NO-6, NAGAR PANCHAYAT GANJMORADABAD,UNNAO.",1.0,6138160.0,m/s ashiyana enterprises,INR,"267,233.53",Finance,summary,Praveen Katiyar,03-Jun-2026 01:15 PM,finance_2139986.pdf,BOQ Comparative Chart,Executive Officer/Chairman,Internal,,Pratik Verma,04-Jun-2026 11:28 AM,finsummary_2139986.pdf (435.34 KB),Technical,admitted,Gunjan Gupta,30-May-2026 12:55 PM,,04-Jun-2026,"INR 267,233.53",90.0,Pratik Verma,04-Jun-2026 03:59 PM,Workorder.pdf (512.00 KB),AOC,Executive Officer/Chairman,Internal,,Pratik Verma,02-Jun-2026 01:01 PM,03-Jun-2026 10:00 AM,techsummary_2139986.pdf (388.15 KB),AOC
2,BC - Bankers Cheque,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,6138160.0,m/s ashiyana enterprises,23-May-2026 09:17 PM,Accepted-AOC,Low quoted amount,04-Jun-2026 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,6136896.0,M/S BHARAT ENTERPRISES,23-May-2026 08:23 AM,Rejected-Finance,High quoted amount,04-Jun-2026 11:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
