S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1,6137713,M/s SHRI GANESH CONSTRUCTION AND SUPPLIERS,24-May-2026 07:46 AM,Accepted-AOC,L-1,18-Jun-2026 09:58 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,2026_REDUP_1147476_3,250/EE/RED/25-04-2026,Construction of R.C.C. Ramp and Vedio Confrencing Room at 1st Floor vikas Bhawan Mainpuri,1.0,6137713.0,M/s SHRI GANESH CONSTRUCTION AND SUPPLIERS,INR,"1,364,844",18-Jun-2026,"INR 1,364,844",120.0,Nuzahat Parveen,18-Jun-2026 09:58 AM,RAMP_0001.pdf (294.00 KB),Er.Nuzhat Parveen,Internal,"A.E.RED,D.A.O.RED",Nuzahat Parveen,01-Jun-2026 03:24 PM,03-Jun-2026 10:00 AM,techsummary_2147607.pdf (293.92 KB),Finance,ALL BIDS ADMITTED,Nuzahat Parveen,03-Jun-2026 05:11 PM,,BOQ Comparative Chart,E.E.Nuzhat Parveen,Internal,"A.E.RED, D.A.O.RED",Nuzahat Parveen,18-Jun-2026 09:55 AM,finsummary_2147607.pdf (292.94 KB),Technical,All bids,Nuzahat Parveen,25-May-2026 02:52 PM,,AOC,1.0,SBI Bank,12-May-2026 03:00 PM,25-May-2026 12:30 PM,12-May-2026 03:00 PM,25-May-2026 12:00 PM,NA ,NA ,12-May-2026 03:00 PM,25-May-2026 12:00 PM,03-Jun-2026 10:00 AM,"30,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical bid,Construction of R.C.C. Ramp and Vedio Confrencing Room at 1st Floor vikas Bhawan Mainpuri,Construction of R.C.C. Ramp and Vedio Confrencing Room at 1st Floor vikas Bhawan Mainpuri,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,90.0,120.0,Mainpuri,205001.0,NA ,NA ,NA ,E.E.RED OFFICE VIKAS BHAWAN MAINPURI,No ,No,854.0,Nil,Nil,No,E.E.RED OFFICE VIKAS BHAWAN MAINPURI,E.E.RED OFFICE VIKAS BHAWAN MAINPURI,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE MAINPURI,250/EE/RED/25-04-2026,2026_REDUP_1147476_3,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,AOC
2,6137492,YASH TRADERS,24-May-2026 07:43 AM,Rejected-AOC,L-2,18-Jun-2026 09:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2,Finance,.xls,financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
