Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Mahrauni Lalitpur,331-4/Etender/NPM/2026-27,2026_DOLBU_1145397_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,05-May-2026 12:30 PM,28-May-2026 12:00 PM,05-May-2026 12:30 PM,26-May-2026 12:00 PM,NA ,NA ,05-May-2026 12:30 PM,26-May-2026 12:00 PM,03-Jun-2026 11:45 AM,1.0,FDR - Fixed Deposit,1.0,Fee/PreQual/Technical,.pdf,"FEE, SECURITY MONEY AND TECHNICAL BID",Executive Officer,Nagar Panchayat Mahroni,"1,18,646",No,fixed,,Executive Officer,Nagar Panchayat Mahroni,"1,399",Executive Officer,Nagar Panchayat Mahroni,No,WATER EVACUATION WORK FROM PRAMOD SINGHAI PLOT TO CONSTRUCTED DRAIN,WATER EVACUATION WORK FROM PRAMOD SINGHAI PLOT TO CONSTRUCTED DRAIN,Please refer Tender documents. ,NA ,"11,86,462",Civil Works,NA ,Tender,90.0,60.0,Nagar Panchayat Mahroni,284405.0,NA ,NA ,NA ,Nagar Panchayat Mahroni,No ,No,AOC,Executive Officer,Internal,Junior Engineer,Sakshi Sahu,03-Jun-2026 11:40 AM,03-Jun-2026 11:45 AM,techsummary_2141011.pdf (1795.91 KB),Finance,All qualification are completed by bidders.,Sakshi Sahu,03-Jun-2026 12:16 PM,,BOQ Comparative Chart,Executive Officer,Internal,Junior Engineer,Sakshi Sahu,03-Jun-2026 12:57 PM,finsummary_2141011.pdf (640.01 KB),Technical,All qualification are completed by bidders.,Sakshi Sahu,29-May-2026 02:23 PM,,1.0,6141803.0,YAKUB KHAN,INR,"1,181,478.86",Directorate of Local Bodies UP||Nagar Panchayat Mahrauni Lalitpur,2026_DOLBU_1145397_1,331-4/Etender/NPM/2026-27,WATER EVACUATION WORK FROM PRAMOD SINGHAI PLOT TO CONSTRUCTED DRAIN,1,6141732,AADITYA VAIDHYA,25-May-2026 06:46 PM,Rejected-AOC,Tender is rejected for being more than the lowest.,03-Jun-2026 03:45 PM,03-Jun-2026,"INR 1,181,478.86",60.0,Sakshi Sahu,03-Jun-2026 03:45 PM,3314.pdf (421.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6141594,M/S K G N CONSTRUCTION,25-May-2026 06:09 PM,Rejected-AOC,Tender is rejected for being more than the lowest.,03-Jun-2026 03:45 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6141803,YAKUB KHAN,25-May-2026 07:08 PM,Accepted-AOC,Tender is accepted due to the lowest rate quoted.,03-Jun-2026 03:45 PM,,,,,,,AOC
