Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of Primary Health Center Medhwa Raghuwanshi Distt. Ambedkar Nagar,Construction of Primary Health Center Medhwa Raghuwanshi Distt. Ambedkar Nagar,As per Bid Documents ,NA ,"2,83,37,000",Civil Works - Buildings,N/A ,Tender,90.0,360.0,Ambedkar Nagar,223221.0,NA ,NA ,NA ,Office of the General Manager Zone-3 UPPCL Lucknow,No ,No,1,Fee/PreQual/Technical,.pdf,NIT,"5,69,000",No,fixed,,Nil,Nil,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,10/GM-3/UPPCL/2026-27 DATE-23.04.2026,2026_UPPRC_1142663_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"17,700",Nil,Nil,No,General Manager Zone-3 UPPCL Lucknow,Office of the General Manager Zone-3 UPPCL Lucknow,1.0,SBI Bank,12-May-2026 03:30 PM,19-May-2026 04:00 PM,12-May-2026 03:30 PM,19-May-2026 03:00 PM,NA ,NA ,12-May-2026 03:30 PM,19-May-2026 03:00 PM,22-May-2026 12:00 PM,AOC,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,18-Jun-2026 05:33 PM,finsummary_2147553.pdf (4640.15 KB),Technical,Attached,ANIL KUMAR SINGH,21-May-2026 05:47 PM,technical_2147553.pdf,General Manager Zone-3 UPPCL Lko,Internal,Attached,ANIL KUMAR SINGH,21-May-2026 05:50 PM,22-May-2026 12:00 PM,techsummary_2147553.pdf (4640.15 KB),Finance,Attached,ANIL KUMAR SINGH,18-Jun-2026 05:31 PM,finance_2147553.pdf,BOQ Comparative Chart,1,6127649,M/S KAUSHAL KUMAR SINGH,19-May-2026 01:12 PM,Rejected-Technical,Disqualify,21-May-2026 05:50 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-3 Faizabad,2026_UPPRC_1142663_2,10/GM-3/UPPCL/2026-27 DATE-23.04.2026,Construction of Primary Health Center Medhwa Raghuwanshi Distt. Ambedkar Nagar,1.0,6117605.0,Surat Construction Pvt Ltd,INR,"27,750,966.69",18-Jun-2026,"INR 27,750,966.69",360.0,ANIL KUMAR SINGH,18-Jun-2026 05:35 PM,Agreement.pdf (3115.00 KB),L1,AOC
,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6117605,Surat Construction Pvt Ltd,19-May-2026 11:49 AM,Accepted-AOC,L1,18-Jun-2026 05:34 PM,,,,,,,,,,,,,,,,,AOC
