Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,39/EE/RED/2025-26,2026_REDUP_1133415_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,2 meter long parking from near the main road culvert in village Sami of development block Konch towards Rajkumar Verma house via Ramkumar Pal house,2 meter long parking from near the main road culvert in village Sami of development block Konch towards Rajkumar Verma house via Ramkumar Pal house,Please refer Tender documents. ,NA ,"15,22,000",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,JALAUN,284001.0,NA ,NA ,NA ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,No ,No,766.0,Nil,Nil,No,"31,000",No,fixed,,Nil,Nil,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,04-Apr-2026 06:55 PM,10-Apr-2026 12:30 PM,04-Apr-2026 06:55 PM,10-Apr-2026 12:00 PM,NA ,NA ,04-Apr-2026 06:55 PM,10-Apr-2026 12:00 PM,30-Apr-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,NIT,1.0,SBI Bank,AOC,Finance,financial cover to be opened,Sheelendra Singh,04-May-2026 01:43 PM,finance_2115625.pdf,BOQ Comparative Chart,sheelendra singh,Internal,sharad srivastava anup kumar mishra,Sheelendra Singh,29-Apr-2026 01:53 PM,30-Apr-2026 12:00 PM,techsummary_2115625.pdf (1890.98 KB),Technical,technical cover to be opened,SHARAD SRIVASTAVA,24-Apr-2026 02:40 PM,technical_2115625.pdf,sheelendra singh,Internal,sharad srivastava anup kumar mishra,Sheelendra Singh,04-May-2026 01:47 PM,finsummary_2115625.pdf (512.76 KB),24-Jun-2026,"INR 1,519,343.87",90.0,SHARAD SRIVASTAVA,24-Jun-2026 06:12 PM,pp.pdf (495.00 KB),bond photo uplode,1,6034793,ARCHANA GUPTA CONTRACTOR,09-Apr-2026 11:07 AM,Accepted-AOC,accepted,24-Jun-2026 06:12 PM,1.0,6034793.0,ARCHANA GUPTA CONTRACTOR,INR,"1,519,343.87",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE JHANSI CIRCLE||EE JALAUN,2026_REDUP_1133415_1,39/EE/RED/2025-26,2 meter long parking from near the main road culvert in village Sami of development block Konch towards Rajkumar Verma house via Ramkumar Pal house,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6034818,M/S TIWARI SOLUTION,09-Apr-2026 08:15 PM,Rejected-Finance,2nd,04-May-2026 01:47 PM,,,,,,,,,,AOC
