Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow||Unit-10 Kanpur,01/PM-10/UPPCL/2026-27/Dated 20-04-2026,2026_UPPRC_1142453_21,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,27-Apr-2026 03:00 PM,04-May-2026 04:00 PM,27-Apr-2026 03:00 PM,04-May-2026 03:00 PM,NA ,NA ,27-Apr-2026 03:00 PM,04-May-2026 03:00 PM,20-May-2026 09:00 AM,"Construction of Mokshadham in village Sikrodhi of Block Kurara, village Masgawan and village Silauli of Block Maudaha in District-Hamirpur.","Construction of Mokshadham in village Sikrodhi of Block Kurara, village Masgawan and village Silauli of Block Maudaha in District-Hamirpur.","Construction of Mokshadham in village Sikrodhi of Block Kurara, village Masgawan and village Silauli of Block Maudaha in District-Hamirpur. ",NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,HAMIRPUR,210301.0,NA ,NA ,NA ,"PM,UNIT-10,UPPCL",No ,No,"5,900",Nil,Nil,No,"PM,UNIT-10,UPPCL","Project Manager, U.P. Projects Corporation Ltd., Unit-10, Udayog Kunj Road Near Haluwakhada (Rajwaha) Nauraiya Kheda (Nahar Kothi), Dada Nagar, Kanpur",1.0,SBI Bank,"64,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,AOC,1.0,6081883.0,MAHAKAL CONSTRUCTION,INR,"3,210,177.45","PM,UNIT-10,KANPUR",Internal,"PM,UNIT-13,BANDA,ACCOUNTANT,UNIT-10,KANPUR",SATYA PRIYA,23-May-2026 08:58 PM,finsummary_2133933.pdf (1085.84 KB),Finance,Summary21,SATYA PRIYA,23-May-2026 05:29 PM,finance_2133933.pdf,BOQ Comparative Chart,1,6081883,MAHAKAL CONSTRUCTION,02-May-2026 03:14 PM,Accepted-AOC,L1,04-Jun-2026 08:37 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow||Unit-10 Kanpur,2026_UPPRC_1142453_21,01/PM-10/UPPCL/2026-27/Dated 20-04-2026,"Construction of Mokshadham in village Sikrodhi of Block Kurara, village Masgawan and village Silauli of Block Maudaha in District-Hamirpur.",27-May-2026,"INR 3,210,177.45",90.0,SATYA PRIYA,04-Jun-2026 08:37 PM,AOC21.pdf (427.00 KB),Lowest Bidder,Technical,Summary1142453_21,SATYA PRIYA,19-May-2026 04:55 PM,technical_2133933.pdf,"PM,UNIT-10,KANPUR",Internal,"PM,UNIT-13,BANDA,ACCT.,UNIT-10,KANPUR",SATYA PRIYA,19-May-2026 06:43 PM,20-May-2026 09:00 AM,techsummary_2133933.pdf (1085.84 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,2,6082761,M/S JAGROOP CONTRACTOR,03-May-2026 07:39 AM,Rejected-Finance,L2,23-May-2026 08:58 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
