Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Gaurabarhaj Deoria,3649/16-05-2026,2026_DOLBU_1149950_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,18-May-2026 03:00 PM,09-Jun-2026 10:00 AM,18-May-2026 03:30 PM,08-Jun-2026 11:00 AM,NA ,NA ,18-May-2026 03:30 PM,08-Jun-2026 11:00 AM,12-Jun-2026 03:00 PM,PAINA ROAD SE KABRISTAN TAK HMP DWARA CHAURIKARAN AWM SUNDRIKARAN KA KARY WARD NO.11 NANDANA PURVI,PAINA ROAD SE KABRISTAN TAK HMP DWARA CHAURIKARAN AWM SUNDRIKARAN KA KARY WARD NO.11 NANDANA PURVI,Please refer Tender documents. ,NA ,"37,56,000",Civil Works,NA ,Tender,90.0,30.0,NPP GAURA BARHAJ,274601.0,NA ,NA ,NA ,NPP GAURA BARHAJ,No ,No,EO,NPP GAURA BARHAJ,1,DD - Demand Draft,"3,18,300",Yes,fixed,,EO,NPP GAURA BARHAJ,1.0,Fee/PreQual/Technical,.pdf,nit,"3,756",EO,NPP GAURA BARHAJ,Yes,AOC,eo je,Internal,eo je,Amit Kumar Jaiswal,17-Jun-2026 12:00 PM,finsummary_2153140.pdf (105.92 KB),Technical,Technical,Amit Kumar Jaiswal,12-Jun-2026 12:38 PM,technical_2153140.pdf,eo je,Internal,eo je,Amit Kumar Jaiswal,12-Jun-2026 12:53 PM,12-Jun-2026 03:00 PM,techsummary_2153140.pdf (102.84 KB),Finance,financial,Amit Kumar Jaiswal,17-Jun-2026 11:49 AM,finance_2153140.pdf,BOQ Comparative Chart,1.0,6161502.0,M/s Amit Kumar Singh,INR,"3,752,244",Directorate of Local Bodies UP||Nagar Palika Parishad Gaurabarhaj Deoria,2026_DOLBU_1149950_1,3649/16-05-2026,PAINA ROAD SE KABRISTAN TAK HMP DWARA CHAURIKARAN AWM SUNDRIKARAN KA KARY WARD NO.11 NANDANA PURVI,1.0,6174239.0,Jaypratap Enterprises,06-Jun-2026 12:06 PM,Rejected-Finance,HIGH RATE,17-Jun-2026 12:00 PM,17-Jun-2026,"INR 3,752,244",30.0,Amit Kumar Jaiswal,17-Jun-2026 12:23 PM,01F.pdf (106.00 KB),LOW RATE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,2.0,Finance,.xls,boq,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6161502.0,M/s Amit Kumar Singh,02-Jun-2026 10:56 AM,Accepted-AOC,LOW RATE,17-Jun-2026 12:23 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6165207.0,M/S SHYAM ASSOCIATES,04-Jun-2026 02:52 PM,Rejected-Finance,HIGH RATE,17-Jun-2026 12:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
