Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
01-Jun-2026,"INR 1,136,385",90.0,Aniruddh Kumar Yadav,01-Jun-2026 03:11 PM,ChatauriAOC.pdf (296.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1138505_2,21/RED/Chandauli/26-27 Date-04-04-2026,Vikas Khand Chakia ke Gram Sabha Chitaudi me Mughalsarai-Chakia mukhya marg se Hanuman ji ke mandir hote hue Ram Maurya ke ghar tak CC road va sidewall nirman karya.,1.0,6083618.0,M/S P S CONSTRUCTION,INR,"1,136,385",1,6084099,M/S MAHADEV ENTERPRISES,03-May-2026 02:15 PM,Rejected-Technical,Clause 3.3 (i) of ITB,25-May-2026 06:19 PM,Finance,bids received,Aniruddh Kumar Yadav,30-May-2026 05:39 PM,,BOQ Comparative Chart,EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,25-May-2026 06:19 PM,30-May-2026 11:00 AM,techsummary_2125724.pdf (331.54 KB),Technical,bids received,Aniruddh Kumar Yadav,25-May-2026 06:10 PM,,EE RED Chandauli,Internal,,Aniruddh Kumar Yadav,01-Jun-2026 03:08 PM,finsummary_2125724.pdf (382.53 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,EMD fees and Technical Document,"1,016",Nil,Nil,No,EE RED Chandauli,EE RED Chandauli,18-Apr-2026 11:00 AM,04-May-2026 12:30 PM,18-Apr-2026 11:00 AM,04-May-2026 12:00 PM,NA ,NA ,18-Apr-2026 11:00 AM,04-May-2026 12:00 PM,30-May-2026 11:00 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,21/RED/Chandauli/26-27 Date-04-04-2026,2026_REDUP_1138505_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"23,000",No,fixed,,Nil,Nil,1.0,SBI Bank,Vikas Khand Chakia ke Gram Sabha Chitaudi me Mughalsarai-Chakia mukhya marg se Hanuman ji ke mandir hote hue Ram Maurya ke ghar tak CC road va sidewall nirman karya.,Vikas Khand Chakia ke Gram Sabha Chitaudi me Mughalsarai-Chakia mukhya marg se Hanuman ji ke mandir hote hue Ram Maurya ke ghar tak CC road va sidewall nirman karya.,Please refer Tender documents. ,NA ,"11,48,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Chakia,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,AOC
,,,,,,,,,,,,,,,2,6083618,M/S P S CONSTRUCTION,03-May-2026 04:01 PM,Accepted-AOC,1st Lowest,01-Jun-2026 03:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Financial Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,6083649,M/S RAMSAHARE SINGH,03-May-2026 04:18 PM,Rejected-Finance,2nd bidder,01-Jun-2026 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
