S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,6083318.0,ACE INFRATECH,02-May-2026 02:17 PM,Accepted-AOC,L1 Bidder,22-Jun-2026 06:23 PM,1.0,6083318.0,ACE INFRATECH,INR,"20,785,000",Construction and Design Services UP Jal Nigam||C.G.M. (I) Lucknow||G.M. (08) Lucknow||Unit-13 Lucknow,2026_UPCDS_1138533_1,489/E-Tender/81 Dt. 16.04.2026,"Polycarbonate canopy work for cover the connecting corridors of various buildings of Kalyan Singh Super Speciality Cancer Institute, Lucknow",08-Jun-2026,"INR 20,785,000",180.0,VINAS KUMAR CHAUDHARY,22-Jun-2026 06:22 PM,L819DOSofCanopy.pdf (1319.00 KB),Contract awarded,Sri Santosh Kumar Gautam CGM-4,Internal,"Sri Naushad Ahmad GM-11, Sri Amit Kumar GM-06 Nodal, Hari Narayan Kshyap FO",VINAS KUMAR CHAUDHARY,16-May-2026 01:54 PM,18-May-2026 05:00 PM,techsummary_2125730.pdf (783.62 KB),Finance,Financial Bid Opened,VINAS KUMAR CHAUDHARY,18-May-2026 05:18 PM,,BOQ Comparative Chart,Sri Santosh Kumar Gautam CGM-4,Internal,"Sri Naushad Ahmad GM-11, Sri Amit Kumar GM-06 and Nodal, Sri Hari Narayan Kashyap FO",VINAS KUMAR CHAUDHARY,25-May-2026 06:21 PM,finsummary_2125730.pdf (820.34 KB),Technical,Above 3 technical bids opened.,VINAS KUMAR CHAUDHARY,04-May-2026 02:37 PM,technical_2125730.pdf,AOC,"11,800","Director, CnDS, UP Jal Nigam(U), Unit-13",Lucknow,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Tender Fee,1.0,RTGS - RTGS Payment,Construction and Design Services UP Jal Nigam||C.G.M. (I) Lucknow||G.M. (08) Lucknow||Unit-13 Lucknow,489/E-Tender/81 Dt. 16.04.2026,2026_UPCDS_1138533_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"Project Manager, Unit-13, CnDS, UP Jal Nigam(U)","2/128, Vikrant Khand, Gomti Nagar, Lucknow","Polycarbonate canopy work for cover the connecting corridors of various buildings of Kalyan Singh Super Speciality Cancer Institute, Lucknow",Polycarbonate canopy work for cover the connecting corridors of various buildings,As per NIT and Tender Documents ,NA ,"2,08,92,000",Civil Works - Buildings,As per NIT and Tender Documents ,Tender,120.0,180.0,"KSSSCI, Sultanpur Road, Lucknow",226002.0,NA ,NA ,NA ,"Unit 13, CnDS, UP Jal Nigam(U). Lucknow",No ,No,"4,18,000",No,fixed,,"Director, CnDS, UP Jal Nigam(U), Unit-13",Lucknow,18-Apr-2026 10:00 AM,04-May-2026 02:00 PM,18-Apr-2026 10:00 AM,02-May-2026 04:00 PM,NA ,NA ,18-Apr-2026 10:00 AM,02-May-2026 04:00 PM,18-May-2026 05:00 PM,AOC
2.0,6083167.0,M/S INCREDIBLE CONSTRUCTION,02-May-2026 02:56 PM,Rejected-Finance,L2 Bidder,25-May-2026 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Scanned copy of EMD Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,6083562.0,M/S KAUSHIK CONSTRUCTION,02-May-2026 03:49 PM,Rejected-Technical,Not As per NIT and Tender Documents,16-May-2026 01:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Technical Documents in proper formats as per NIT and Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.xls,Capability Statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Financial Bid in the uploaded BOQ Excel sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
