Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,UTKARSH ENTERPRISES,DIVAKAR BHASKAR,20-Jan-2026 11:25 AM,,BOQ Comparative Chart,09-Jun-2026,"INR 414,877",30.0,DIVAKAR BHASKAR,09-Jun-2026 03:35 PM,939ut.pdf (295.00 KB),"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1103737_1,939/AA-2/25-26,Providing and fixing of baricating from RHS ramadevi Chauraha To Manoj international hotel and chawani hospital to both side of rail bazar thana For Vvip Program under zone 2,1.0,5805131.0,UTKARSH ENTERPRISES,INR,"414,877",1,5804732,SHREE SHIVAY INFRA,15-Jan-2026 11:07 PM,Rejected-Finance,L2,20-Jan-2026 01:02 PM,CE,Internal,,DIVAKAR BHASKAR,20-Jan-2026 01:00 PM,techsummary_2035607.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,20-Jan-2026 01:02 PM,finsummary_2035607.pdf (194.18 KB),AOC,"49,029",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,boq,Providing and fixing of baricating from RHS ramadevi Chauraha To Manoj international hotel and chawani hospital to both side of rail bazar thana For Vvip Program under zone 2,Providing and fixing of baricating from RHS ramadevi Chauraha To Manoj international hotel and chawani hospital to both side of rail bazar thana For Vvip Program under zone 2,Please refer Tender documents. ,NA ,"4,90,290",Civil Works,NA ,Tender,90.0,30.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,"Kanpur Municipal Corporation, Kanpur, UP",939/AA-2/25-26,2026_NNKAN_1103737_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,05-Jan-2026 09:00 AM,16-Jan-2026 04:00 PM,05-Jan-2026 09:00 AM,16-Jan-2026 03:00 PM,NA ,NA ,05-Jan-2026 09:00 AM,16-Jan-2026 03:00 PM,"CHIEF ENGINEER, KMC",MOtijheel,590.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,2,5805131,UTKARSH ENTERPRISES,14-Jan-2026 11:00 PM,Accepted-AOC,AOC,09-Jun-2026 03:35 PM,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
