Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Lucknow||ID-2, sultanpur",2026_UPIDC_1150254_1,279/id2SLP/Retender/Dt.20.4.26,Maintenance of Samdatal Drain from Km. 0.000 to 14.000,1.0,6140163.0,VAIBHAV CONSTRUCTIONS,INR,"376,699",1,6135112,M/S KRISHNA CONSTRUCTION,22-May-2026 09:20 AM,Rejected-AOC,-45.30 percent below,09-Jun-2026 08:35 PM,01-Jun-2026,"INR 376,699",21.0,Vijay Singh,09-Jun-2026 08:35 PM,AOCSamdatal.pdf (438.00 KB),M/s Vaibhav Construction Makan No. 166 Baghrajpur Thana -Nagar Kotwali Distt. Sultanpur,Vijay Singh E.E.,Internal,Arvind Kr. Pandey E.E. Faujdar Ram E.E.,Vijay Singh,27-May-2026 07:26 AM,27-May-2026 02:00 PM,techsummary_2153662.pdf (335.46 KB),Finance,VAIBHAV CONSTRUCTIONS is L1,Vijay Singh,27-May-2026 08:34 PM,finance_2153662.pdf,BOQ Comparative Chart,Vijay Singh E.E.,Internal,Arvind Kr. Pandey E.E. Faujdar Ram E.E.,Vijay Singh,27-May-2026 08:41 PM,finsummary_2153662.pdf (318.59 KB),Technical,Total 05 bid received and 04 bidders have qualified for Financial Bid opening,Vijay Singh,27-May-2026 07:19 AM,technical_2153662.pdf,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Externally Aided Project, Lucknow||Drainage Circle, Lucknow||ID-2, sultanpur",279/id2SLP/Retender/Dt.20.4.26,2026_UPIDC_1150254_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,580.0,Nil,Nil,No,"90,000",No,fixed,,Nil,Nil,Executive Engineer,Ofiice of Executive Engineer Irrigation Division - 2 Sultanpur,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Bid Doc,19-May-2026 10:00 AM,25-May-2026 02:00 PM,19-May-2026 10:00 AM,25-May-2026 01:00 PM,NA ,NA ,19-May-2026 10:00 AM,25-May-2026 01:00 PM,27-May-2026 02:00 PM,Maintenance of Samdatal Drain from Km. 0.000 to 14.000,Maintenance of Samdatal Drain from Km. 0.000 to 14.000 Distt. Amethi,Please refer Tender documents. ,NA ,"9,00,000",Civil Works,NA ,Tender,90.0,21.0,Amethi,227405.0,NA ,NA ,NA ,Online,No ,No,AOC
,,,,,,,,,2,6138054,MS Maa Vaishno Construction,24-May-2026 02:16 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-May-2026 07:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6140312,M/S RISHIRAJ BUILDERS AND SUPPLIERS,25-May-2026 11:55 AM,Rejected-AOC,-43.00 percent below,09-Jun-2026 08:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6136503,RAMPRASAD THEKEDAR,22-May-2026 07:45 PM,Rejected-AOC,-50.17 percent below,09-Jun-2026 08:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6140163,VAIBHAV CONSTRUCTIONS,25-May-2026 11:28 AM,Accepted-AOC,-58.14 percent below,09-Jun-2026 08:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
