Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,2026_DOLBU_1120164_215,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EO NPP DEORIA,NPP DEORIA,28-Feb-2026 06:46 PM,25-Mar-2026 03:00 PM,28-Feb-2026 11:00 AM,24-Jul-2026 06:46 PM,NA ,NA ,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,23-Apr-2026 03:00 PM,"WARD NO.25 ME C.C.ROAD SE GOBRI NISHAD , SURENDRA V PAWAN SINGH KE GHAR TAK C.C.ROAD V NALI NIRMAN KARYA","WARD NO.25 ME C.C.ROAD SE GOBRI NISHAD , SURENDRA V PAWAN SINGH KE GHAR TAK C.C.ROAD V NALI NIRMAN KARYA",Please refer Tender documents. ,NA ,"12,11,863",Civil Works,NA ,Tender,90.0,90.0,NPP DEORIA,274001.0,NA ,NA ,NA ,NPP DEORIA,No ,No,1.0,SBI Bank,"1,21,186",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TENDERNOTICE,"1,930",Nil,Nil,No,AOC,1.0,5996751.0,MANI BROTHERS,INR,"1,210,408",Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,2026_DOLBU_1120164_215,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,"WARD NO.25 ME C.C.ROAD SE GOBRI NISHAD , SURENDRA V PAWAN SINGH KE GHAR TAK C.C.ROAD V NALI NIRMAN KARYA",Technical,TECHNICAL BID OPENED,Sanjay kumar Tiwari,21-Apr-2026 04:06 PM,,1,5996751,MANI BROTHERS,24-Mar-2026 06:49 AM,Accepted-AOC,L1,22-Jun-2026 08:04 PM,16-Jun-2026,"INR 1,210,408",90.0,Sanjay kumar Tiwari,22-Jun-2026 08:04 PM,194.pdf (537.00 KB),"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Poo Ja,24-Apr-2026 03:25 PM,finsummary_2085530.pdf (88.42 KB),Finance,FINANCIAL BID OPENED,Sanjay kumar Tiwari,24-Apr-2026 12:44 PM,,BOQ Comparative Chart,"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Poo Ja,23-Apr-2026 02:17 PM,23-Apr-2026 03:00 PM,techsummary_2085530.pdf (479.17 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,2,5996904,M/S DIWAKAR PANDEY,24-Mar-2026 06:01 AM,Rejected-Finance,L2,24-Apr-2026 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,3,5996819,M/S SHANDILYA CONSTRUCTION,24-Mar-2026 06:23 AM,Rejected-Finance,L3,24-Apr-2026 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
