Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1146120_5,106/RED/Tender/Unnao/26-27 Dt-9-4.26,Gram Himmatgadh me Jay Prakash ke Ghar se Nandulodh ke Ghar tak interlocking Road va Nali ka Nirman karye.,1.0,6100117.0,Rishi Prakash jaiswal,INR,"1,596,840.72",1,6100129,M/S DIPTI KATIYAR,09-May-2026 08:46 AM,Rejected-AOC,l2,15-Jun-2026 12:47 PM,15-Jun-2026,"INR 1,596,840.72",90.0,Narendra chaudhary,15-Jun-2026 12:47 PM,Jayprakash0004.pdf (1102.00 KB),l1,Er Narendra Chaudhary,Internal,,Narendra chaudhary,04-Jun-2026 11:16 AM,04-Jun-2026 11:20 AM,techsummary_2143177.pdf (480.26 KB),Finance,Summary,Narendra chaudhary,15-Jun-2026 12:41 PM,finance_2143177.pdf,BOQ Comparative Chart,Er Narendra Chaudhry,Internal,,Narendra chaudhary,15-Jun-2026 12:43 PM,finsummary_2143177.pdf (1101.53 KB),Technical,Summary,Narendra chaudhary,04-Jun-2026 11:13 AM,technical_2143177.pdf,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,106/RED/Tender/Unnao/26-27 Dt-9-4.26,2026_REDUP_1146120_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Gram Himmatgadh me Jay Prakash ke Ghar se Nandulodh ke Ghar tak interlocking Road va Nali ka Nirman karye.,Gram Himmatgadh me Jay Prakash ke Ghar se Nandulodh ke Ghar tak interlocking Road va Nali ka Nirman karye.,Plz Refer Doc ,Na ,"15,97,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED OFFICE UNNAO,No ,No,"2,384",Nil,Nil,No,1.0,SBI Bank,07-May-2026 01:00 PM,13-May-2026 12:30 PM,07-May-2026 01:00 PM,13-May-2026 12:00 PM,NA ,NA ,07-May-2026 01:00 PM,13-May-2026 12:00 PM,04-Jun-2026 11:20 AM,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Er Narendra Chaudhary,Vikas Bhawan,"32,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6100117,Rishi Prakash jaiswal,09-May-2026 08:14 AM,Accepted-AOC,l1,15-Jun-2026 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,AOC
