Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"Construction of barrier Free Sports Facilities at Sparsh Government Blind Boys Inter College, Partapur, Meerut Under Departmental Special Schools in Meerut District","Construction of barrier Free Sports Facilities at Sparsh Government Blind Boys Inter College, Partapur, Meerut Under Departmental Special Schools in Meerut District",Please refer Tender documents. ,NA ,"1,42,74,403",Civil Works - Buildings,NA ,Tender,90.0,275.0,"Partapur, Meerut",250103.0,NA ,NA ,NA ,MEERUT,No ,No,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,24/ E-TENDER /Meerut-Zone /2025-26 DATED 02-02-2026,2026_UPRNS_1112151_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"2,85,488",No,fixed,,EE UPRNSS,Meerut,"7,080",EE UPRNSS,Meerut,No,1.0,Fee/PreQual/Technical,.pdf,Technical,1.0,FDR - Fixed Deposit,20-Feb-2026 04:50 PM,25-Feb-2026 04:50 PM,20-Feb-2026 04:50 PM,25-Feb-2026 04:50 PM,NA ,NA ,20-Feb-2026 04:50 PM,25-Feb-2026 04:50 PM,27-Feb-2026 04:30 PM,"Rakesh Kumar Chaurasia, SE","Office of SE, 41 Basant Vihar, Kila Road, Meerut",AOC,"Rakesh Kumar Chaurasia, SE",Internal,"Sanjeev Kumar Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Assistant Accountant",Rakesh Kumar Chaurasia,05-Mar-2026 11:31 AM,finsummary_2079490.pdf (1540.60 KB),Technical,Technical Opened by Tender Committee,Rakesh Kumar Chaurasia,27-Feb-2026 04:06 PM,technical_2079490.pdf,Rakesh Kumar Chaurasia SE,Internal,"Sanjeev Kumar Singh EE, Rohit Kumar Gautam AE, Anil Kumar JE, Shaurya Pratap Singh Account Assistant",Rakesh Kumar Chaurasia,27-Feb-2026 04:12 PM,27-Feb-2026 04:30 PM,techsummary_2079490.pdf (467.84 KB),Finance,Financial Opened by Tender Committee,Rakesh Kumar Chaurasia,05-Mar-2026 11:25 AM,finance_2079490.pdf,BOQ Comparative Chart,1,5925726,k s and associates,24-Feb-2026 07:02 PM,Accepted-AOC,L-1,18-Jun-2026 04:37 PM,Uttar Pradesh Rajya Nirman Sahkari Sangh Limited,2026_UPRNS_1112151_2,24/ E-TENDER /Meerut-Zone /2025-26 DATED 02-02-2026,"Construction of barrier Free Sports Facilities at Sparsh Government Blind Boys Inter College, Partapur, Meerut Under Departmental Special Schools in Meerut District",1.0,5925726.0,k s and associates,INR,"14,257,273.72",17-Mar-2026,"INR 14,257,273.72",275.0,Rakesh Kumar Chaurasia,18-Jun-2026 04:36 PM,WORKORDERDRASTIBADHITMEERUTContractorCopy.pdf (1154.00 KB),Tender Award,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,2.0,RTGS - RTGS Payment,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,5925618,Malik Construction Co,24-Feb-2026 06:42 PM,Rejected-Finance,Quoted Rates Are Higher,05-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,5924285,M/s M S Horticulturist And Consultant,24-Feb-2026 03:49 PM,Rejected-Technical,All Documents Not Complete as per Tender NIT,27-Feb-2026 04:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,5926330,SRI RAM ENTERPRISES,24-Feb-2026 09:27 PM,Rejected-Finance,Quoted Rates Are Higher,05-Mar-2026 11:31 AM,,,,,,,,,,,,,,,,,AOC
