S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,SBI Bank,Dewatering work on damaged dot nala in front of 107/103 Brahm nagar in ward-05 Jawahar nagar zone-4.,Dewatering work on damaged dot nala in front of 107/103 Brahm nagar in ward-05 Jawahar nagar zone-4.,Please refer Tender documents. ,NA ,"9,91,200",Civil Works,NA ,Tender,90.0,45.0,ward-05 jawahar nagar,208001.0,NA ,NA ,NA ,"Executive Engineer Office, Motijheel, Kanpur",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan copy of Affidavit of pending works on Rs. 100 stamp,"1,180",Nil,Nil,No,"Chief Engineer, KNN","Chief Engineer office, KNN, Motijheel",30-May-2026 02:15 PM,02-Jun-2026 04:00 PM,30-May-2026 02:15 PM,02-Jun-2026 03:00 PM,NA ,NA ,30-May-2026 02:15 PM,02-Jun-2026 03:00 PM,"99,120",No,percentage,10.0%,Nil,Nil,"Kanpur Municipal Corporation, Kanpur, UP",130/AA-4/26-27,2026_NNKAN_1155630_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"Jr. Engg., Exe. Engg.",Internal,"Jr. Engg., Exe. Engg.",MEENAKSHI AGARWAL,04-Jun-2026 10:48 AM,finsummary_2164922.pdf (401.38 KB),"Jr. Engg., Exe. Engg.",Internal,"Jr. Engg., Exe. Engg.",MEENAKSHI AGARWAL,04-Jun-2026 10:41 AM,techsummary_2164922.pdf (215.11 KB),04-Jun-2026,"INR 991,365",45.0,MEENAKSHI AGARWAL,12-Jun-2026 09:17 PM,1155630_AOC.pdf (254.00 KB),AOC issue,1.0,6159718.0,BS INFRA PROJECTS,INR,"991,365","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1155630_1,130/AA-4/26-27,Dewatering work on damaged dot nala in front of 107/103 Brahm nagar in ward-05 Jawahar nagar zone-4.,1,6159718,BS INFRA PROJECTS,01-Jun-2026 05:20 PM,Accepted-AOC,AOC issue,12-Jun-2026 09:17 PM,Finance,Bids submitted,MEENAKSHI AGARWAL,02-Jun-2026 05:51 PM,finance_2164922.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6161750,SHIFA CONSTRUCTION CO.,02-Jun-2026 12:06 PM,Rejected-Finance,L2 Bidder,04-Jun-2026 10:48 AM,,,,,,,AOC
