Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
25-May-2026,"INR 3,475,317",120.0,Rajendra Nath Chaturvedi,11-Jun-2026 03:02 PM,AOC_09_13.pdf (384.00 KB),1,6102984,KULDEEP VERMA CONSTRUCTION,10-May-2026 06:43 PM,Accepted-AOC,Accepted,11-Jun-2026 03:02 PM,1.0,6102984.0,KULDEEP VERMA CONSTRUCTION,INR,"3,475,317",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,2026_REDUP_1138744_1,09_13/TAV/KHERI/2026-27,"Construction of interlocking road from Bandhe to Vill Rajarampurwa in the village panchayat Sarwa, 500 meters, Block Phoolbehar",Technical,Recommended for Technical Evaluation,Rajendra Nath Chaturvedi,11-May-2026 03:55 PM,technical_2126096.pdf,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,19-May-2026 07:15 AM,finsummary_2126096.pdf (330.18 KB),Finance,Recommended for Financial Evaluation,Hemant Saxena,18-May-2026 02:42 PM,finance_2126096.pdf,BOQ Comparative Chart,Hemant Saxena,Internal,,Rajendra Nath Chaturvedi,13-May-2026 04:34 PM,18-May-2026 12:00 PM,techsummary_2126096.pdf (238.90 KB),AOC,22-Apr-2026 12:00 PM,11-May-2026 12:30 PM,22-Apr-2026 12:00 PM,11-May-2026 12:00 PM,NA ,NA ,22-Apr-2026 12:00 PM,11-May-2026 12:00 PM,18-May-2026 12:00 PM,Hemant Saxena,Executive Engineer Rural Engineering Department Vikas Bhawan Lakhimpur Kheri,1,Fee/PreQual/Technical,.pdf,Technical PDF,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE KHERI,09_13/TAV/KHERI/2026-27,2026_REDUP_1138744_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,944.0,Nil,Nil,No,1.0,SBI Bank,"Construction of interlocking road from Bandhe to Vill Rajarampurwa in the village panchayat Sarwa, 500 meters, Block Phoolbehar","Construction of interlocking road from Bandhe to Vill Rajarampurwa in the village panchayat Sarwa, 500 meters, Block Phoolbehar",Please Refer Tender Document ,NA ,"34,76,000",Civil Works,NA ,Tender,90.0,120.0,Lakhimpur Kheri,262701.0,NA ,NA ,NA ,RED Lakhimpur Kheri,No ,No,"70,000",No,fixed,,Nil,Nil,AOC
,,,,,,2,6103159,OM SAI ENTERPRISES,11-May-2026 11:31 AM,Rejected-Finance,2nd Lowest Bidder,19-May-2026 07:15 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,Finance,.xls,Bill Of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
