Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,Fee/PreQual/Technical,.pdf,BIDDOC,"17,700",Nil,Nil,No,Construction work of Boundary wall of 50 Beded Critical Care Unit Building of District-Kaushambi,Construction work of Boundary wall of 50 Beded Critical Care Unit Building of District-Kaushambi,Please refer Tender documents. ,NA ,"1,37,82,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,District-Kaushambi (U.P.),212214.0,NA ,NA ,NA ,Prayagarj,No ,No,1.0,SBI Bank,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,21/UPPCL/GM-1/2026-27 /E-TENDER Dated-28.04.2026,2026_UPPRC_1147608_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,75,000",No,fixed,,Nil,Nil,"General Manager, Zone-1, Prayagraj","General Manager, Zone-1, U. P. Projects Corporation Ltd. 230/1A, Mehdaury, Teliyarganj, District-Prayagraj.",12-May-2026 11:00 AM,18-May-2026 03:00 PM,12-May-2026 11:00 AM,18-May-2026 02:00 PM,NA ,NA ,12-May-2026 11:00 AM,18-May-2026 02:00 PM,26-May-2026 04:00 PM,AOC,Technical,Enclosed,SURESH CHANDRA YADAV,25-May-2026 05:02 PM,technical_2147165.pdf,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-2, Prayagraj, Accountant Unit-2, Prayagraj, General Manager (Technical), lUCKNOW",SURESH CHANDRA YADAV,18-Jun-2026 07:05 PM,finsummary_2147165.pdf (456.01 KB),Finance,Enclosed,SURESH CHANDRA YADAV,18-Jun-2026 07:02 PM,finance_2147165.pdf,BOQ Comparative Chart,"General Manager Zone-1, Prayagraj",Internal,"Project Manager Unit-2, Prayagraj, Accountant Unit-2, Prayagraj, General Manager (Technical), Lucknow",SURESH CHANDRA YADAV,25-May-2026 05:04 PM,26-May-2026 04:00 PM,techsummary_2147165.pdf (456.01 KB),18-Jun-2026,"INR 13,705,003.31",180.0,SURESH CHANDRA YADAV,18-Jun-2026 07:07 PM,Agr25.pdf (540.00 KB),Enclosed,1,6117105,M/S Raghav Construction,16-May-2026 11:19 AM,Accepted-AOC,Accept,18-Jun-2026 07:07 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-1 Allahabad,2026_UPPRC_1147608_1,21/UPPCL/GM-1/2026-27 /E-TENDER Dated-28.04.2026,Construction work of Boundary wall of 50 Beded Critical Care Unit Building of District-Kaushambi,1.0,6117105.0,M/S Raghav Construction,INR,"13,705,003.31",AOC
2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6117840,SHANTI CONSTRUCTION,16-May-2026 11:15 AM,Rejected-AOC,Accept,18-Jun-2026 07:07 PM,,,,,,,,,,AOC
