Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1352/RED/E-Tender(41)/25-26, Dt. 30.03.2026",2026_REDUP_1138890_8,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich","10,700",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Technical bid documents,788.0,Nil,Nil,No,20-Apr-2026 12:00 PM,29-Apr-2026 12:30 PM,20-Apr-2026 12:00 PM,29-Apr-2026 12:00 PM,NA ,NA ,20-Jul-2026 04:27 PM,29-Apr-2026 12:00 PM,04-May-2026 02:00 PM,1.0,SBI Bank,Nagar Panchayat Kaisarganj ke Ward no. 08 Dihwa dakshini me Babban ke ghar se Pawan Jaiswal ke ghar hote huye Santram ke ghar ke pass tak interlocking karya_08,Nagar Panchayat Kaisarganj ke Ward no. 08 Dihwa dakshini me Babban ke ghar se Pawan Jaiswal ke ghar hote huye Santram ke ghar ke pass tak interlocking karya_08,Please refer Tender documents. ,NA ,"5,34,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,AOC,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,02-May-2026 06:43 PM,04-May-2026 02:00 PM,techsummary_2126412.pdf (622.08 KB),Finance,Financial bid open,Sujit Kumar Sinha,05-May-2026 12:20 PM,finance_2126412.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,05-May-2026 01:43 PM,finsummary_2126412.pdf (43.86 KB),Technical,Technical bid open,Sujit Kumar Sinha,29-Apr-2026 02:21 PM,technical_2126412.pdf,1.0,6067230.0,M/S R R BUILDERS,INR,"630,240.19",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1138890_8,"1352/RED/E-Tender(41)/25-26, Dt. 30.03.2026",Nagar Panchayat Kaisarganj ke Ward no. 08 Dihwa dakshini me Babban ke ghar se Pawan Jaiswal ke ghar hote huye Santram ke ghar ke pass tak interlocking karya_08,1,6071663,AHOK KUMAR,28-Apr-2026 04:51 PM,Rejected-Finance,High,05-May-2026 01:43 PM,25-May-2026,"INR 630,240.19",180.0,Sujit Kumar Sinha,03-Jun-2026 06:14 PM,Document2.pdf (26.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial bid document (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6067230,M/S R R BUILDERS,28-Apr-2026 04:38 PM,Accepted-AOC,AOC,03-Jun-2026 06:14 PM,,,,,,,AOC
