S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,5947567.0,LANDMARK INFRA PROJECTS,INR,"1,774,203.71","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",2026_UPIDC_1118759_2,16/EE/2025-26,Construction work of boundary wall for protection of Veerpura Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,1,5945784,AJAY SHARMA,05-Mar-2026 11:16 AM,Rejected-Technical,6(Viii),07-Mar-2026 07:29 PM,12-Mar-2026,"INR 1,774,203.71",15.0,Binod kumar Singh,02-Jun-2026 02:32 PM,finsummary.pdf (740.00 KB),AOC,EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,12-Mar-2026 01:01 PM,finsummary_2084256.pdf (739.59 KB),Technical,As per file Attached,Binod kumar Singh,05-Mar-2026 07:06 PM,technical_2084256.pdf,EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,07-Mar-2026 07:29 PM,09-Mar-2026 11:00 AM,techsummary_2084256.pdf (739.59 KB),Finance,As per file Attached,Binod kumar Singh,11-Mar-2026 04:44 PM,finance_2084256.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,tender,Construction work of boundary wall for protection of Veerpura Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,Construction work of boundary wall for protection of Veerpura Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,Please refer Tender documents. ,NA ,"19,00,000",Civil Works,NA ,Rate Contract,90.0,15.0,Bulandshahr,203001.0,NA ,NA ,NA ,Bulandshahr,No ,No,1.0,Fee Cori,Fee,,354.0,Nil,Nil,No,"38,000",Yes,percentage,2.0%,Nil,Nil,27-Feb-2026 09:00 AM,05-Mar-2026 03:00 PM,27-Feb-2026 09:00 AM,05-Mar-2026 02:00 PM,NA ,NA ,27-Feb-2026 09:00 AM,05-Mar-2026 02:00 PM,09-Mar-2026 11:00 AM,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",16/EE/2025-26,2026_UPIDC_1118759_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,EE BDGC BSR,EE BDGC BSR,AOC
,,,,,,,,,2,5945645,ARTIST BRO,03-Mar-2026 02:46 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5943776,ASHISH CHOUHAN,02-Mar-2026 01:49 PM,Rejected-Finance,L-2,12-Mar-2026 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5946040,HARSHIT,05-Mar-2026 11:31 AM,Rejected-Technical,6(Viii),07-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5947567,LANDMARK INFRA PROJECTS,05-Mar-2026 11:50 AM,Accepted-AOC,AOC,02-Jun-2026 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5945806,M/s Harcharan Lal Sharma And Engineers,05-Mar-2026 01:03 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5947553,M/s Prince Construction,05-Mar-2026 11:57 AM,Rejected-Technical,6(Viii),07-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5945994,M/S SHREE JEE CONSTRUCTIONS,05-Mar-2026 12:07 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5945615,R.S. CONSTRUCTION,04-Mar-2026 06:17 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5945555,SHIV GANGA INFRATECH,03-Mar-2026 01:55 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
