Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
08-Jun-2026,"INR 266,194.08",15.0,Dinesh Mohan,08-Jun-2026 03:30 PM,14.pdf (118.00 KB),AOC,Technical,AS PER UPLOAD,Dinesh Mohan,20-Feb-2026 08:24 PM,,Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,21-Feb-2026 11:06 AM,23-Feb-2026 05:00 PM,techsummary_2054848.pdf (45.88 KB),Dinesh Mohan,Internal,Vishwanath Shukla,Dinesh Mohan,22-Jul-2026 03:30 PM,finsummary_2054848.pdf (39.53 KB),Finance,AS PER UPLOAD,Dinesh Mohan,25-Feb-2026 11:10 AM,,BOQ Comparative Chart,1.0,5855332.0,M/S VED PRAKASH,INR,"266,194.08","U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",2026_UPIDC_1111706_14,06/EE/2025-26,Clearance of Ghrit Nallah from KM 0.000 to KM 4.900 in District Basti,1,5844039,devendra kumar pandey,05-Feb-2026 10:29 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,"U P Irrigation Department (Civil)||Chief Engineer-Saryu Project-2, Gonda||Irrigation Construction Circle, Basti||SCD-4, basti",06/EE/2025-26,2026_UPIDC_1111706_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,03-Feb-2026 03:30 PM,09-Feb-2026 12:30 PM,03-Feb-2026 10:00 AM,09-Feb-2026 12:00 PM,NA ,NA ,03-Feb-2026 10:00 AM,09-Feb-2026 12:00 PM,23-Feb-2026 05:00 PM,"12,000",No,fixed,,Nil,Nil,795.0,Nil,Nil,No,Clearance of Ghrit Nallah from KM 0.000 to KM 4.900 in District Basti,Clearance of Ghrit Nallah from KM 0.000 to KM 4.900 in District Basti,Please refer Tender documents. ,NA ,"6,13,000",Civil Works,NA ,Rate Contract,90.0,15.0,BASTI,272001.0,NA ,NA ,NA ,"Executive Engineer Saryu Nahar Khand-4,Basti (U.",No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,AS PER UPLOAD,"Executive Engineer Saryu Nahar Khand-4,Basti (U.","Executive Engineer Saryu Nahar Khand-4,Basti (U.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5852020,M/S AMIT KUMAR SINGH,08-Feb-2026 08:48 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,AS PER UPLOAD,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5846965,M/S ANIL KUMAR BARNWAL THEKEDAR,09-Feb-2026 10:29 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5854759,M/S BADRUNNISHA CONTRACTOR,09-Feb-2026 02:29 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5847328,M/S BAJRANG CONSTRUCSON AND SUPPLIRE,07-Feb-2026 03:59 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5853804,M/S HARIPAL SINGH,09-Feb-2026 12:17 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5855588,M/S HARI SHANKER,09-Feb-2026 11:52 AM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5853441,M/S OM PRAKASH SINGH CONTRACTOR,08-Feb-2026 06:10 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5852467,M/S OM SAI TRADERS,08-Feb-2026 02:36 PM,Rejected-Finance,AS PER UPLOAD,25-Feb-2026 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5855332,M/S VED PRAKASH,09-Feb-2026 10:36 AM,Accepted-AOC,AS PER UPLOAD,08-Jun-2026 05:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
