Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
E.E. Vishal Porwal,Internal,,VISHAL PORWAL,29-Apr-2026 09:07 PM,05-May-2026 11:00 AM,techsummary_2124880.pdf (251.53 KB),06-Jun-2026,"INR 181,320",30.0,VISHAL PORWAL,16-Jun-2026 07:33 PM,159.pdf (920.00 KB),Date of start,Technical,02 Technical bid found in 02 accepted,VISHAL PORWAL,29-Apr-2026 09:04 PM,technical_2124880.pdf,1.0,6065949.0,M/S GAYATRI ENTERPRISES,INR,"181,320",Finance,02 Financial bid found in 01 accepted and 01 rejected,VISHAL PORWAL,18-May-2026 10:31 AM,finance_2124880.pdf,BOQ Comparative Chart,E.E. Vishal Porwal,Internal,,VISHAL PORWAL,18-May-2026 10:34 AM,finsummary_2124880.pdf (273.11 KB),1,6065949,M/S GAYATRI ENTERPRISES,24-Apr-2026 11:53 AM,Accepted-AOC,Date of start,16-Jun-2026 07:34 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||SDSC, sitapur",2026_UPIDC_1137713_24,01/EE/2026-27,Auction of Silt/Sand Placed at left and right bank of Kathwa Mr from km. 0.000 to 0.500 (Lot-24),AOC,EXECTUIVE ENGINEER,EXECTUIVE ENGINEER SITAPUR DIVISION SHARDA CANAL SITAPUR,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||SDSC, sitapur",01/EE/2026-27,2026_UPIDC_1137713_24,Yes,Auction,Item Rate,Works,2.0,No,No,Online,No,No,No,0.0,Nil,Nil,No,Auction of Silt/Sand Placed at left and right bank of Kathwa Mr from km. 0.000 to 0.500 (Lot-24),Auction of Silt/Sand Placed at left and right bank of Kathwa Mr from km. 0.000 to 0.500 (Lot-24),Please refer Tender documents. ,NA ,"84,000",Civil Works - Canal,NA ,Rate Contract,90.0,30.0,Sitapur,261001.0,NA ,NA ,NA ,SITAPUR DIVISION SHARDA CANAL SITAPUR,No ,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Tender Document,17-Apr-2026 09:00 AM,24-Apr-2026 01:00 PM,17-Apr-2026 09:00 AM,24-Apr-2026 12:00 PM,NA ,NA ,17-Apr-2026 09:00 AM,24-Apr-2026 12:00 PM,05-May-2026 11:00 AM,"21,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6064108,RAO ASSOCIATES,23-Apr-2026 11:24 AM,Rejected-Finance,Financlal Bid Rejected Due to Lowest Rate,18-May-2026 10:34 AM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC
