Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,tendarnotice,"ward no 08,10,15 me vibhinn galinyo mesa p v c payjal pipe line dalne or jodne ka kary","ward no 08,10,15 me vibhinn galinyo mesa p v c payjal pipe line dalne or jodne ka kary",Please refer Tender documents. ,NA ,"10,88,165",Pipe Laying Works,NA ,Tender,60.0,60.0,EO NPP KOSIKALAN,281403.0,NA ,NA ,NA ,EO NPP KOSIKALAN,No ,No,EO NPP KOSIKALAN,EO NPP KOSIKALAN,"1,550",EO NPP KOSIKALAN,KOSIKALAN,No,04-May-2026 05:00 PM,18-May-2026 03:00 PM,04-May-2026 05:00 PM,18-May-2026 02:00 PM,NA ,NA ,04-May-2026 05:00 PM,18-May-2026 02:00 PM,30-May-2026 11:20 AM,Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,01NPPKOSI/TIED GRANT/2026-27,2026_DOLBU_1145129_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,"1,08,820",Yes,fixed,,EO NPP KOSIKALAN,KOSIKALAN,AOC,EO,Internal,Accountent je jal,Akhilesh kumar kumar,24-Jun-2026 11:34 AM,finsummary_2140337.pdf (1101.61 KB),Technical,technical,Akhilesh kumar kumar,30-May-2026 11:07 AM,technical_2140337.pdf,E O,Internal,Accountent je jal,Yogendra Kumar Rawat,30-May-2026 11:17 AM,30-May-2026 11:20 AM,techsummary_2140337.pdf (353.08 KB),Finance,financial,Akhilesh kumar kumar,24-Jun-2026 11:12 AM,,BOQ Comparative Chart,Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,2026_DOLBU_1145129_1,01NPPKOSI/TIED GRANT/2026-27,"ward no 08,10,15 me vibhinn galinyo mesa p v c payjal pipe line dalne or jodne ka kary",1.0,6119439.0,MS KANTI PRASAD CONTRACTOR,INR,"1,087,294.47",1,6119439,MS KANTI PRASAD CONTRACTOR,16-May-2026 05:47 AM,Accepted-AOC,Accepted,24-Jun-2026 11:36 AM,24-Jun-2026,"INR 1,087,294.47",60.0,Akhilesh kumar kumar,24-Jun-2026 11:36 AM,order.pdf (1102.00 KB),"ward no 08,10,15 me vibhinn galinyo mesa p v c payjal pipe line dalne or jodne ka kary",AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6119529,M/S Radhey Shyam Duve Thekedar,16-May-2026 07:32 AM,Rejected-Finance,NOT ACCEPTED,24-Jun-2026 11:34 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6123411,Shri Ji Associates,18-May-2026 08:02 AM,Rejected-Finance,NOT ACCEPTED,24-Jun-2026 11:34 AM,,,,,,,,AOC
