S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,5947597.0,LANDMARK INFRA PROJECTS,INR,"2,147,248.72","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",2026_UPIDC_1118759_4,16/EE/2025-26,Construction work of boundary wall for protection of Chandrawali Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,1,5945800,AJAY SHARMA,05-Mar-2026 11:21 AM,Rejected-Technical,6(Viii),07-Mar-2026 07:53 PM,12-Mar-2026,"INR 2,147,248.72",15.0,Binod kumar Singh,02-Jun-2026 02:27 PM,finsummary.pdf (740.00 KB),AOC,EE BDGC BSR,Internal,As per file attached,Binod kumar Singh,12-Mar-2026 12:49 PM,finsummary_2084269.pdf (739.59 KB),Technical,As per file Attached,Binod kumar Singh,05-Mar-2026 07:44 PM,technical_2084269.pdf,EE BDGC BSR,Internal,As per file Attached,Binod kumar Singh,07-Mar-2026 07:53 PM,09-Mar-2026 11:00 AM,techsummary_2084269.pdf (739.59 KB),Finance,As per file Attached,Binod kumar Singh,11-Mar-2026 04:56 PM,finance_2084269.pdf,BOQ Comparative Chart,AOC,354.0,Nil,Nil,No,Construction work of boundary wall for protection of Chandrawali Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,Construction work of boundary wall for protection of Chandrawali Inspection House under Bulandshahr Division Ganga Canal Bulandshahr,Please refer Tender documents. ,NA ,"23,00,000",Civil Works,NA ,Rate Contract,90.0,15.0,Bulandshahr,203001.0,NA ,NA ,NA ,Bulandshahr,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,tender,27-Feb-2026 09:00 AM,05-Mar-2026 03:00 PM,27-Feb-2026 09:00 AM,05-Mar-2026 02:00 PM,NA ,NA ,27-Feb-2026 09:00 AM,05-Mar-2026 02:00 PM,09-Mar-2026 11:00 AM,EE BDGC BSR,EE BDGC BSR,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Drainage Circle, Aligarh||BSDGC. Bulandshahar",16/EE/2025-26,2026_UPIDC_1118759_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"46,000",Yes,percentage,2.0%,Nil,Nil,AOC
,,,,,,,,,2,5945659,ARTIST BRO,03-Mar-2026 03:05 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5946359,Dhirendra Singh Sirohi,03-Mar-2026 11:15 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,5946050,HARSHIT,05-Mar-2026 11:37 AM,Rejected-Technical,6(Viii),07-Mar-2026 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,5944092,HARVIR CHAUHAN,02-Mar-2026 03:10 PM,Rejected-Finance,L-2,12-Mar-2026 12:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,5947597,LANDMARK INFRA PROJECTS,05-Mar-2026 11:51 AM,Accepted-AOC,AOC,02-Jun-2026 02:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,5945535,M/S AMAR PAL SINGH CONTRACTOR,05-Mar-2026 12:04 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,5945817,M/s Harcharan Lal Sharma And Engineers,05-Mar-2026 01:07 PM,Rejected-Technical,6(Viii),07-Mar-2026 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,5947362,M/S RINKU CONTRACTOR,05-Mar-2026 11:45 AM,Rejected-Technical,6(Viii),07-Mar-2026 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,5947594,M/s SHASHAVEER SINGH CONTRACTOR AND SUPPLIERS,05-Mar-2026 12:56 PM,Rejected-Technical,"6(iii, iv, Vii, viii, ix, x xi)",07-Mar-2026 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
