Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,Summary,Narendra chaudhary,25-Mar-2026 05:18 PM,technical_2094199.pdf,15-Jun-2026,"INR 2,113,785.32",90.0,Narendra chaudhary,15-Jun-2026 05:15 PM,Naya0004.pdf (1102.00 KB),l1,Er Narendra Chaudrary,Internal,,Narendra chaudhary,25-Mar-2026 05:20 PM,25-Mar-2026 05:25 PM,techsummary_2094199.pdf (440.02 KB),1,5972770,M/S DHIRENDRA SINGH,15-Mar-2026 06:39 AM,Rejected-AOC,l2,15-Jun-2026 05:15 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1123792_20,2187/red/tender/unnao/25-26 dt- 10-02-2026,Vikas Khand Sikandepur Karan ke Gram Sabah Satan ke Mazra Naya Khera Abadi Bhag me Interlocking karye.,1.0,5974334.0,RAJESH KUMAR PAL,INR,"2,113,785.32",Er Narendra Chaudhry,Internal,,Narendra chaudhary,15-Jun-2026 05:13 PM,finsummary_2094199.pdf (1101.57 KB),Finance,Summary,Narendra chaudhary,15-Jun-2026 05:09 PM,finance_2094199.pdf,BOQ Comparative Chart,AOC,11-Mar-2026 04:55 PM,18-Mar-2026 12:30 PM,11-Mar-2026 04:55 PM,18-Mar-2026 12:00 PM,NA ,NA ,11-Mar-2026 04:55 PM,18-Mar-2026 12:00 PM,25-Mar-2026 05:25 PM,"1,000",Nil,Nil,No,1.0,SBI Bank,Vikas Khand Sikandepur Karan ke Gram Sabah Satan ke Mazra Naya Khera Abadi Bhag me Interlocking karye.,Vikas Khand Sikandepur Karan ke Gram Sabah Satan ke Mazra Naya Khera Abadi Bhag me Interlocking karye.,Plz Refer Doc ,NA ,"12,88,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,Er Narendra Chaudhary,Vikas Bhawan Unnao,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2187/red/tender/unnao/25-26 dt- 10-02-2026,2026_REDUP_1123792_20,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"25,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,2,5974334,RAJESH KUMAR PAL,15-Mar-2026 01:46 PM,Accepted-AOC,l1,15-Jun-2026 05:15 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,AOC
