EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"21,000",No,fixed,,UPSCIDCO LTD,KANNAUJ,"BABU RAM ,EXECUTIVE ENGINEER",DAK BANGLA ROAD SARAIMEERA KANNAUJ,1.0,FDR - Fixed Deposit,1.0,Fee/PreQual/Technical,.pdf,Tender fee and Earnest money receipt with documents,06-May-2026 01:00 PM,12-May-2026 02:00 PM,06-May-2026 01:00 PM,12-May-2026 12:00 PM,NA ,NA ,06-May-2026 01:00 PM,12-May-2026 12:00 PM,25-May-2026 01:35 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,57/E.E./DRDA/KNJ/2026-27 DT 06.05.2026,2026_SCIDC_1145750_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,652",UPSCIDCO LTD,KANNAUJ,No,Construction of Boundary wall and Beautification of Dr. Bheemrao Ambdekar Park at Village Umrayapurwa Post Gangemau Distt Kannauj Under Vidhayak Nidhi,Construction of Boundary wall and Beautification of Dr. Bheemrao Ambdekar Park at Village Umrayapurwa Post Gangemau Distt Kannauj Under Vidhayak Nidhi,Please refer Tender documents. ,NA ,,Civil Works,as per BOQ ,Tender,90.0,180.0,kannauj,209725.0,NA ,NA ,NA ,KANNAUJ,No ,No,AOC,Executive Engineer,Internal,,Shiva nand Dubey,25-May-2026 02:50 PM,finsummary_2142122.pdf (310.14 KB),Technical,Technical,Shiva nand Dubey,25-May-2026 01:29 PM,technical_2142122.pdf,Executive Eningeer,Internal,,Shiva nand Dubey,25-May-2026 01:32 PM,25-May-2026 01:35 PM,techsummary_2142122.pdf (301.42 KB),Finance,FINANCIAL,Shiva nand Dubey,25-May-2026 02:47 PM,finance_2142122.pdf,BOQ Comparative Chart,1,6109775,ANAND ENTERPRISES,12-May-2026 11:38 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-May-2026 01:29 PM,1.0,6108339.0,SAI INFRATECH,INR,"893,455.1",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Kanpur,2026_SCIDC_1145750_1,57/E.E./DRDA/KNJ/2026-27 DT 06.05.2026,Construction of Boundary wall and Beautification of Dr. Bheemrao Ambdekar Park at Village Umrayapurwa Post Gangemau Distt Kannauj Under Vidhayak Nidhi,25-May-2026,"INR 893,455.1",180.0,Shiva nand Dubey,05-Jun-2026 02:30 PM,LOIumraya.pdf (235.00 KB),aoc,AOC
,,,,,,,,2.0,RTGS - RTGS Payment,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6108163,M/S AKASH CONSTURCTION COMPANY & SUPPLIERS,11-May-2026 11:16 PM,Rejected-Finance,L2,25-May-2026 02:50 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6108339,SAI INFRATECH,12-May-2026 12:03 AM,Accepted-AOC,L1,05-Jun-2026 02:30 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,6107670,SAVITRI MAHESH ENTERPRISES,11-May-2026 07:52 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,25-May-2026 01:29 PM,,,,,,,,,,,,,,,,,AOC
