Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Saharanpur Municipal Corporation Saharanpur UP,2026_NNSAH_1150261_1,6197 B,"Work of pathway, open jym and wall painting from shri ram mandir park for ranjeet nagar at ward no. 29",1.0,6148210.0,GALAXY TRADERS,INR,"986,224.1",1,6148289,Chand khan contractor,28-May-2026 11:19 AM,Rejected-AOC,L3,25-Jun-2026 01:09 PM,25-Jun-2026,"INR 986,224.1",30.0,Sandeep kumar Misra,25-Jun-2026 01:09 PM,tech.pdf (23.00 KB),MADANPAL,Internal,,Sandeep kumar Misra,25-Jun-2026 01:07 PM,finsummary_2153661.pdf (23.38 KB),Technical,Admitted,Vijay Bahadur singh,03-Jun-2026 04:08 PM,technical_2153661.pdf,MADANPAL,Internal,,Sandeep kumar Misra,25-Jun-2026 11:35 AM,25-Jun-2026 11:40 AM,techsummary_2153661.pdf (23.38 KB),Finance,Admitted,Sandeep kumar Misra,25-Jun-2026 12:47 PM,finance_2153661.pdf,BOQ Comparative Chart,AOC,chief Engineer nagar nigam saharanpur,chief Engineer nagar nigam saharanpur,20-May-2026 06:00 PM,29-May-2026 11:00 AM,20-May-2026 06:00 PM,28-May-2026 03:00 PM,NA ,NA ,20-May-2026 06:00 PM,28-May-2026 03:00 PM,25-Jun-2026 11:40 AM,1.0,SBI Bank,Saharanpur Municipal Corporation Saharanpur UP,6197 B,2026_NNSAH_1150261_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical,"99,118",No,percentage,10.0%,Nil,Nil,826.0,Nil,Nil,No,"Work of pathway, open jym and wall painting from shri ram mandir park for ranjeet nagar at ward no. 29","Work of pathway, open jym and wall painting from shri ram mandir park for ranjeet nagar at ward no. 29",Please refer Tender documents. ,NA ,"9,91,180",Civil Works,NA ,Tender,90.0,30.0,saharanpur,247001.0,NA ,NA ,NA ,nirman vibhag nagar nigam saharanpur,No ,No,AOC
,,,,,,,,,2,6148210,GALAXY TRADERS,28-May-2026 10:58 AM,Accepted-AOC,L1,25-Jun-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6148357,SATRAJ ENTERPRISES,28-May-2026 11:33 AM,Rejected-AOC,L2,25-Jun-2026 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
