Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Temp Maintenance Division 3 (Civil) PWD Lucknow,Letter No.589/E-Tender/2026 Dt-25.03.2026,2026_PWDBL_1135099_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,16-Apr-2026 12:00 PM,22-Apr-2026 12:30 PM,16-Apr-2026 12:00 PM,22-Apr-2026 12:00 PM,NA ,NA ,16-Apr-2026 12:00 PM,22-Apr-2026 12:00 PM,28-Apr-2026 04:00 PM,"2,67,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Tender Fee/security deposit/ Document required as per T1,Kota stone work in the staircase of houses from Block No 19 to 36 of Type 3 PWD Colony Jail Road Lucknow,Kota stone work in the staircase of houses from Block No 19 to 36 of Type 3 PWD Colony Jail Road Lucknow,Please refer Tender documents. ,NA ,"26,70,000",Civil Works - Buildings,NA ,Tender,90.0,180.0,PWD Colony Jail Road Lucknow.,226001.0,Executive Engineer Ty. Maintenance Division No.3 C ,Executive Engineer Ty. Maintenance Division No.3(Civil) UPPWD. Lucknow ,17-Apr-2026 12:00 PM ,E E TyMaintenance Division No 3Civil PWD LKO.,No ,No,"2,354",Nil,Nil,No,"Executive Engineer,",Executive Engineer Ty. Maintenance Division No.3(Civil) UPPWD. Lucknow,AOC,Superintending Engineer,Internal,"Superintending Engineer 39th Circle, PWD Lucknow. Executive Engineer Ty. Maintenance Division No.3(Civil) UPPWD. Lucknow. Executive Engineer, Maintenance Division No.2(Civil) UPPWD. Lucknow.",GANGESHWAR PAL,28-Apr-2026 02:53 PM,28-Apr-2026 04:00 PM,techsummary_2119185.pdf (449.10 KB),Finance,1-M/S VASHUDEV ENTERPRISES-Admitted due to L1 2-M/S SUNLINE ENTERPRISES-Admitted due to L2 3-GRFS BUILDERS-Admitted due to L3,GANGESHWAR PAL,28-Apr-2026 04:30 PM,,BOQ Comparative Chart,Superintending Engineer,Internal,"Superintending Engineer 39th Circle, PWD Lucknow. Executive Engineer Ty. Maintenance Division No.3(Civil) UPPWD. Lucknow. Executive Engineer, Maintenance Division No.2(Civil) UPPWD. Lucknow.",GANGESHWAR PAL,12-May-2026 11:30 AM,finsummary_2119185.pdf (36.68 KB),Technical,All Bid Admitted for technical ablations by prahari portal,GANGESHWAR PAL,22-Apr-2026 02:12 PM,,1,6061059,GRFS BUILDERS,21-Apr-2026 02:04 PM,Rejected-Finance,Financial bid is Rejected being higher rate L3,12-May-2026 11:30 AM,1.0,6062313.0,M/S VASHUDEV ENTERPRISES,INR,"1,719,194",Chief Engineer (Building)||S E 39 Circle PWD Lucknow||Temp Maintenance Division 3 (Civil) PWD Lucknow,2026_PWDBL_1135099_1,Letter No.589/E-Tender/2026 Dt-25.03.2026,Kota stone work in the staircase of houses from Block No 19 to 36 of Type 3 PWD Colony Jail Road Lucknow,17-Jun-2026,"INR 1,719,194",180.0,GANGESHWAR PAL,17-Jun-2026 05:12 PM,961T3.pdf (456.00 KB),Financial bid is accepted at the price Rs.1719194.00 by Executive Engineer.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6061661,M/S S.U. ENTERPRISES,21-Apr-2026 05:19 PM,Rejected-Technical,"Tender submitted on E-tender, not on prahari portal.",28-Apr-2026 02:53 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6053519,M/S SUNLINE ENTERPRISES,21-Apr-2026 04:43 PM,Rejected-Finance,Financial bid is Rejected being higher rate L2,12-May-2026 11:30 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,6062313,M/S VASHUDEV ENTERPRISES,22-Apr-2026 11:00 AM,Accepted-AOC,Financial bid is accepted due to lowest rate,17-Jun-2026 05:12 PM,,,,,,,,,,,,,,,,,AOC
