Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage
01-Jul-2026,"INR 1,507,189",120.0,GYANENDRA MANI TRIPATHI,24-Jun-2026 07:28 PM,aoccrosssectionsleeper.pdf (399.00 KB),accepted,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,2026_UPIDM_1157368_1,03/EE/MLCD/KNP/UPC/2026-27,CONSTRUCTION OF CROSS SECTION SLEEPER,1.0,6202496.0,M/S M.K. ENTERPRISES,INR,"1,507,189",1.0,6202228.0,M/s Jai Contraction,17-Jun-2026 12:06 PM,Rejected-Finance,HIGER RATE QUOTED,24-Jun-2026 06:17 PM,Technical,technical opened,GYANENDRA MANI TRIPATHI,19-Jun-2026 08:26 PM,technical_2168725.pdf,GYANENDRA MANI TRIPATHI,Internal,"EE MLCD KANPUR,EE TCD KANPUR,DA MLCD KANPUR",GYANENDRA MANI TRIPATHI,24-Jun-2026 06:17 PM,finsummary_2168725.pdf (445.22 KB),Finance,FINANCIAL OPENED,GYANENDRA MANI TRIPATHI,24-Jun-2026 05:56 PM,finance_2168725.pdf,BOQ Comparative Chart,GYANENDRA MANI TRIPATHI,Internal,"Executive Engineer MLCD KANPUR,Executive Engineer TCD Kanpur,DIVISIONAL ACCOUNTANT MLCD KANPUR",GYANENDRA MANI TRIPATHI,19-Jun-2026 08:41 PM,23-Jun-2026 12:00 PM,techsummary_2168725.pdf (445.22 KB),AOC,"27,500",Yes,fixed,,Nil,Nil,1.0,SBI Bank,EXECUTIVE ENGINEER MLCD KANPUR,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur||Executive Engineer(MLCD)-Kanpur,03/EE/MLCD/KNP/UPC/2026-27,2026_UPIDM_1157368_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,05-Jun-2026 03:00 PM,18-Jun-2026 11:00 AM,05-Jun-2026 03:00 PM,17-Jun-2026 03:00 PM,05-Jun-2026 03:00 PM ,10-Jun-2026 03:00 PM ,05-Jun-2026 03:00 PM,17-Jun-2026 03:00 PM,23-Jun-2026 12:00 PM,354.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NIT OF UPC CROSS SECTION SLEEPER,CONSTRUCTION OF CROSS SECTION SLEEPER,CONSTRUCTION OF CROSS SECTION SLEEPER,AS PER NIT ,NA ,"13,68,416",Civil Works - Canal,CANAL ,Tender,90.0,120.0,UMARAHAT PUMP CANAL,209206.0,NA ,NA ,NA ,OFFICE OF EXECUTIVE ENGINEER MLCD KANPUR,No ,No,1,BIS /Mfg lic /Dealership ,Manufacturing license / registration certificate -for Manufacturer ,Manufacturing license / registration certificate -for Manufacturer ,,AOC
,,,,,,,,,,,,,,,,2.0,6202496.0,M/S M.K. ENTERPRISES,17-Jun-2026 02:48 PM,Accepted-AOC,lower rate quoted,24-Jun-2026 07:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,AOC
,,,,,,,,,,,,,,,,3.0,6202397.0,SHIV RAM ENTERPRISES,17-Jun-2026 01:04 PM,Rejected-Finance,HIGER RATE QUOTED,24-Jun-2026 06:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,AOC
,,,,,,,,,,,,,,,,4.0,6202569.0,swastik traders,17-Jun-2026 02:13 PM,Rejected-Finance,HIGER RATE QUOTED,24-Jun-2026 06:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Misc. document ,Bidder Address Format ,Bidder Address Format ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Tax related documents ,PAN card ,PAN card ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Technical Details ,Firms capability and capacity ,Firms capability and capacity ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Technical Details ,Detailed testing facilities ,Detailed testing facilities ,,AOC
