Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,Fee,.pdf,EMD AND TENDER FEE,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Moradabad,002/EE/MBD/NIDHI/2026-27 Dt. 07-05-2026,2026_SCIDC_1146111_1,Yes,Open Tender,Percentage,Works,3.0,No,No,Offline,No,No,No,"E.E., UPSCIDCO, MORADABAD","E.E. OFFICE, UP STATE CONSTRUCTION AND INFRASTRUCTURE DEVELOPMENT CORPORATION LTD., SAMAJ KALYAN CAMPUS, KANTH ROAD, MORADABAD","1,062",U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,No,1.0,FDR - Fixed Deposit,07-May-2026 02:00 PM,14-May-2026 11:00 AM,07-May-2026 02:00 PM,14-May-2026 10:30 AM,NA ,NA ,07-May-2026 02:00 PM,14-May-2026 10:30 AM,16-May-2026 06:55 PM,"15,000",No,fixed,,U.P. STATE CONST. AND INFRA. DEVELOPMENT CORP. LTD,MORADABAD,"Construction of 80.00 m drain and road from Riayat Ali house to Ahmed Ali house in village Chaitrampur, Block-Chhajlet. District Moradabad. (MLA-Nidhi Work)","Construction of 80.00 m drain and road from Riayat Ali house to Ahmed Ali house in village Chaitrampur, Block-Chhajlet. District Moradabad. (MLA-Nidhi Work)",Please refer Tender documents. ,NA ,"7,39,484",Civil Works - Roads,NA ,Tender,60.0,60.0,MORADABAD,244001.0,NA ,NA ,NA ,"E.E. OFFICE , UPSCIDCO, MORADABAD",No ,No,AOC,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,20-May-2026 12:55 PM,finsummary_2143073.pdf (898.49 KB),Technical,TECHNICAL REPORT,Avdhesh kumar Verma,16-May-2026 06:49 PM,,AVDHESH KUMAR VERMA -E.E,Internal,"1-AVDHESH KUMAR VERMA -E.E, 2-HARINDRA KUMAR(EL.) A.E, 3-MOOL CHANDRA-AAO",Avdhesh kumar Verma,16-May-2026 06:53 PM,16-May-2026 06:55 PM,techsummary_2143073.pdf (310.52 KB),Finance,FINANCIAL REPORT,Avdhesh kumar Verma,20-May-2026 12:49 PM,,BOQ Comparative Chart,1.0,6112897.0,KAMAL KUMAR CONTRACTOR,22-Jul-2026 03:37 PM,Rejected-Finance,AMOUNT IS HIGH,20-Jul-2026 03:37 PM,1.0,6112123.0,Ms/ M.H. Constructions,INR,"739,114.26",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Moradabad,2026_SCIDC_1146111_1,002/EE/MBD/NIDHI/2026-27 Dt. 07-05-2026,"Construction of 80.00 m drain and road from Riayat Ali house to Ahmed Ali house in village Chaitrampur, Block-Chhajlet. District Moradabad. (MLA-Nidhi Work)",24-May-2026,"INR 739,114.26",60.0,Avdhesh kumar Verma,17-Jun-2026 12:44 PM,002NIT002WOMBD.pdf (478.00 KB),LOI OF WORK,AOC
2,PreQual/Technical,.pdf,TENDER NOTICE,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6112123.0,Ms/ M.H. Constructions,12-May-2026 11:54 PM,Accepted-AOC,AMOUNT IS LOWEST,17-Jun-2026 12:43 PM,,,,,,,,,,,,,,,,,AOC
3,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
