Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
03-Jun-2026,"INR 3,661,866",90.0,Ramesh Bahadur Shahi,03-Jun-2026 11:36 AM,BairikhalaLOI.pdf (1133.00 KB),M/s Banshi Dhar pandey Found L1,1,6057751,M/S BANSHI DHAR AND SONS,19-Apr-2026 11:03 PM,Rejected-Finance,L2,20-May-2026 10:30 AM,1.0,6057707.0,M/S BANSHI DHAR PANDEY,INR,"3,661,866",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,2026_SCIDC_1135641_1,82 /EE Basti /E-Tender /Purvanchal Nidhi Kaptanganj /2025-26 Dated 10 -04-2026,Construction of CC Road work at Bairikhala Pitch Marg Se Santram Chaudhary Ke Ghar Tak Block Gaur Distt Basti. ( Purvanchil Nidhi Kaptanganj),Technical,M/S BANSHI DHAR PANDEY and M/S BANSHI DHAR AND SONS Found,Ramesh Bahadur Shahi,04-May-2026 03:44 PM,technical_2120345.pdf,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,20-May-2026 10:30 AM,finsummary_2120345.pdf (450.58 KB),Finance,M/S BANSHI DHAR PANDEY Found L1,Ramesh Bahadur Shahi,20-May-2026 10:27 AM,finance_2120345.pdf,BOQ Comparative Chart,Sri Ramesh Bahadur Shahi EE,Internal,Attached,Ramesh Bahadur Shahi,04-May-2026 03:46 PM,04-May-2026 06:00 PM,techsummary_2120345.pdf (646.57 KB),AOC,1,Fee/PreQual/Technical,.pdf,NIT,11-Apr-2026 09:00 AM,20-Apr-2026 02:00 PM,11-Apr-2026 09:00 AM,20-Apr-2026 01:00 PM,11-Apr-2026 09:00 AM ,20-Apr-2026 01:00 PM ,11-Apr-2026 09:00 AM,20-Apr-2026 01:00 PM,04-May-2026 06:00 PM,1,FDR - Fixed Deposit,"1,652",UPSCIDCO,BASTI,No,"73,500",No,fixed,,UPSCIDCO,BASTI,Executive Engineer,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Basti,82 /EE Basti /E-Tender /Purvanchal Nidhi Kaptanganj /2025-26 Dated 10 -04-2026,2026_SCIDC_1135641_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Construction of CC Road work at Bairikhala Pitch Marg Se Santram Chaudhary Ke Ghar Tak Block Gaur Distt Basti. ( Purvanchil Nidhi Kaptanganj),Construction of CC Road work at Bairikhala Pitch Marg Se Santram Chaudhary Ke Ghar Tak Block Gaur Distt Basti. ( Purvanchil Nidhi Kaptanganj),As Given in NIT ,NA ,"36,67,000",Civil Works,NA ,Tender,90.0,90.0,Basti,272001.0,"H.No. 1348 Jaypurawa Gandhinagar, near Nagar pali ","H.No. 1348 Jaypurawa Gandhinagar, near Nagar palika Ke Piche , Basti ",17-Apr-2026 12:00 PM ,UPSCIDCO BASTI,No ,No,AOC
,,,,,,,2,6057707,M/S BANSHI DHAR PANDEY,19-Apr-2026 10:32 PM,Accepted-AOC,L1,03-Jun-2026 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,2,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
