Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE MUZAFFARNAGAR,1961/RED/Tender 19/25-26 Dt 30.03.2026,2026_REDUP_1150357_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT VIKAS BHAWAN 3rd FLOOR MUZAFFARNAGAR,19-May-2026 05:00 PM,26-May-2026 12:30 PM,20-May-2026 10:00 AM,25-May-2026 12:00 PM,NA ,NA ,20-May-2026 10:00 AM,25-May-2026 12:00 PM,02-Jun-2026 12:00 PM,Rajkaya Inter Collage Kaserwa se Mukhya Marg tak CC road ka Nirman Karya,Rajkaya Inter Collage Kaserwa se Mukhya Marg tak CC road ka Nirman Karya,Rajkaya Inter Collage Kaserwa se Mukhya Marg tak CC road ka Nirman Karya ,NA ,"12,53,000",Civil Works,NA ,Tender,90.0,90.0,MUZAFFARNAGAR,251001.0,MUZAFFARNAGAR ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT VIKAS BHAWAN 3rd FLOOR MUZAFFARNAGAR ,20-May-2026 12:00 PM ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT V,No ,No,"26,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,NIT,766.0,Nil,Nil,No,AOC,EXECUTIVE ENGINEER,Internal,EE AE DAO,Anil Kumar,08-Jun-2026 10:57 PM,finsummary_2154006.pdf (449.86 KB),Technical,Summary,Anil Kumar,29-May-2026 05:46 PM,technical_2154006.pdf,Executive Engineer,Internal,EE DAO AE,Anil Kumar,29-May-2026 06:27 PM,02-Jun-2026 12:00 PM,techsummary_2154006.pdf (269.52 KB),Finance,Summary,Anil Kumar,08-Jun-2026 10:23 PM,finance_2154006.pdf,BOQ Comparative Chart,1.0,6135874.0,M/S A.P. DEVELOPERS,23-May-2026 11:51 AM,Accepted-AOC,L1,25-Jun-2026 02:46 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE MUZAFFARNAGAR,2026_REDUP_1150357_7,1961/RED/Tender 19/25-26 Dt 30.03.2026,Rajkaya Inter Collage Kaserwa se Mukhya Marg tak CC road ka Nirman Karya,1.0,6135874.0,M/S A.P. DEVELOPERS,INR,"1,252,203.37",08-Jun-2026,"INR 1,252,203.37",90.0,Anil Kumar,25-Jun-2026 02:46 PM,A7.pdf (459.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T1,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6135899.0,PRAVINDRA KUMAR,23-May-2026 12:40 PM,Rejected-Finance,L2,08-Jun-2026 10:57 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
