EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"32,579",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCS,Directorate of Local Bodies UP||Mathura Municipal Corporation,NNMV/NIRMAN/92/01-43,2026_DOLBU_1118821_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,300.0,Nil,Nil,No,1.0,SBI Bank,C.E. CIVIL,NNMV,WORK NO. 03 OUT OF 43 WORKS.,AS PER NIT,Please refer Tender documents. ,NA ,"3,25,785",Civil Works,NA ,Tender,90.0,30.0,NNMV,281003.0,NA ,NA ,NA ,NNMV,No ,No,23-Feb-2026 03:00 PM,17-Mar-2026 11:00 AM,23-Feb-2026 03:00 PM,16-Mar-2026 11:00 AM,NA ,NA ,23-Feb-2026 03:00 PM,16-Mar-2026 11:00 AM,22-Apr-2026 03:20 PM,AOC,Finance,4 bid received,Office Representative-1,25-Apr-2026 01:43 PM,,BOQ Comparative Chart,CE CIVIL,Internal,,Office Representative-1,21-Apr-2026 03:13 PM,22-Apr-2026 03:20 PM,techsummary_2080264.pdf (409.14 KB),Technical,4B,Office Representative-3,19-Mar-2026 04:00 PM,,C.E. CIVIL,Internal,,Office Representative-3,12-May-2026 03:08 PM,finsummary_2080264.pdf (128.59 KB),30-Jun-2026,"INR 254,112",30.0,Office Representative-2,30-Jun-2026 02:05 PM,68.pdf (766.00 KB),1,5958516,MAA GAURI CONSTRUCTIONS,09-Mar-2026 02:04 PM,Rejected-Finance,NOT L1,12-May-2026 03:08 PM,1.0,5976737.0,VARSHA PANDEY,INR,"254,112",Directorate of Local Bodies UP||Mathura Municipal Corporation,2026_DOLBU_1118821_3,NNMV/NIRMAN/92/01-43,WORK NO. 03 OUT OF 43 WORKS.,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5976773,M/S JAY MAHAKAL ENTERPRISES,16-Mar-2026 09:26 AM,Rejected-Finance,NOT L1,12-May-2026 03:08 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5956264,M/s Panna Lal Sharma Contractor,10-Mar-2026 07:25 AM,Rejected-Finance,NOT L1,12-May-2026 03:08 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5976737,VARSHA PANDEY,16-Mar-2026 09:22 AM,Accepted-AOC,AOC,30-Jun-2026 02:05 PM,,,,,,,,,,AOC
