Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
18-Jun-2026,"INR 1,850,404",60.0,Kuldeep Kumar Tamar,18-Jun-2026 02:30 PM,31119.pdf (549.00 KB),Technical,Technical,Kuldeep Kumar Tamar,18-May-2026 12:50 PM,,CE,Internal,,narendra kumar chaudhary,29-May-2026 04:44 PM,30-May-2026 10:00 AM,techsummary_2135771.pdf (577.75 KB),ce,Internal,,Kuldeep Kumar Tamar,18-Jun-2026 02:28 PM,finsummary_2135771.pdf (548.58 KB),Finance,Finance,narendra kumar chaudhary,30-May-2026 12:23 PM,,BOQ Comparative Chart,1.0,6117586.0,URVASHI CEMENT UDYOG,INR,"1,850,404",1,6116678,BALAJI CONSTRUUCTION,14-May-2026 08:18 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1142879_31,119/Nirman/2026-27 Date 22.04.2026,Construction work of CC road from in front of Dayanand farm to the house of a soldier and in front of Model International School in Ward-11 Nandgram Krishna Kunj.,AOC,"1,416",Nil,Nil,No,Construction work of CC road from in front of Dayanand farm to the house of a soldier and in front of Model International School in Ward-11 Nandgram Krishna Kunj.,Construction work of CC road from in front of Dayanand farm to the house of a soldier and in front of Model International School in Ward-11 Nandgram Krishna Kunj.,Please refer Tender documents. ,NA ,"21,76,946",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,"65,308",No,percentage,3.0%,Nil,Nil,29-Apr-2026 09:00 AM,15-May-2026 03:30 PM,29-Apr-2026 09:00 AM,15-May-2026 03:00 PM,NA ,NA ,29-Apr-2026 09:00 AM,15-May-2026 03:00 PM,30-May-2026 10:00 AM,CE,Ghaziabad Nagar Nigam,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,119/Nirman/2026-27 Date 22.04.2026,2026_DOLBU_1142879_31,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6081607,JP SHAKTI CONSTRUCTION,01-May-2026 12:50 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6087143,JSB ENTERPRISES,04-May-2026 12:33 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6083895,M/S CHOUDHARY ASSOCIATES,02-May-2026 06:37 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6116752,M/S MAA PADMAWATI CONSTRUCTION,14-May-2026 08:43 PM,Rejected-Technical,all requried not complete,29-May-2026 04:44 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6116868,M/s Mahadev Constructions,15-May-2026 02:47 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6113330,M/S RIDHIMA WEAVTAX PRIVATE LIMITED,13-May-2026 04:38 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6114045,PRAMOD KUMAR SINGHAL,13-May-2026 07:37 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6083926,RADHA ASSOCIATES,02-May-2026 06:49 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6084584,RAQEEB CONTRACTOR,03-May-2026 01:40 PM,Rejected-Finance,L2,18-Jun-2026 02:28 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6117586,URVASHI CEMENT UDYOG,15-May-2026 11:10 AM,Accepted-AOC,L1,18-Jun-2026 02:30 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
