Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1141890_9,63/RED/Tender/Unnao/2026-27 Dt-06-04-2026,Sadar Vidhan Sabha ke Vibhinn Chentraoo me 20 submmersible Pamp va Pani ki Tanki ka Nirman karye.,1.0,6069407.0,M/s Bhoopendra Singh,INR,"2,054,123.37",1,6069448,JITENDRA KUMAR SINGH,26-Apr-2026 12:52 AM,Rejected-AOC,l2,06-Jun-2026 01:18 PM,06-Jun-2026,"INR 2,054,123.37",90.0,Narendra chaudhary,06-Jun-2026 01:18 PM,20S0004.pdf (718.00 KB),l1,Er Narendra Chaudhry,Internal,,Narendra chaudhary,06-Jun-2026 01:16 PM,finsummary_2132742.pdf (717.65 KB),Technical,SummaRYT,Narendra chaudhary,18-May-2026 10:46 AM,technical_2132742.pdf,Er Narendra Chaudhry,Internal,,Narendra chaudhary,18-May-2026 10:48 AM,18-May-2026 10:50 AM,techsummary_2132742.pdf (462.59 KB),Finance,Summary,Narendra chaudhary,06-Jun-2026 01:06 PM,finance_2132742.pdf,BOQ Comparative Chart,AOC,25-Apr-2026 03:00 PM,04-May-2026 12:30 PM,25-Apr-2026 03:00 PM,04-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 03:00 PM,04-May-2026 12:00 PM,18-May-2026 10:50 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,63/RED/Tender/Unnao/2026-27 Dt-06-04-2026,2026_REDUP_1141890_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Sadar Vidhan Sabha ke Vibhinn Chentraoo me 20 submmersible Pamp va Pani ki Tanki ka Nirman karye.,Sadar Vidhan Sabha ke Vibhinn Chentraoo me 20 submmersible Pamp va Pani ki Tanki ka Nirman karye.,Plz Refer DOC ,NA ,"20,54,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,1.0,SBI Bank,Er Narendra Chaudhary,Vikas Bhawan,"2,384",Nil,Nil,Yes,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"41,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6069407,M/s Bhoopendra Singh,25-Apr-2026 11:57 PM,Accepted-AOC,l1,06-Jun-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,AOC
