EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"28,179",No,percentage,3.0%,Nil,Nil,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,122/Nirman/2026-27 Date 26.05.2026,2026_DOLBU_1154911_10,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of drain in front of dumping ground in Dhabarasi village (Chainage No. 130 to Chainage No. 260 meters),Construction of drain in front of dumping ground in Dhabarasi village (Chainage No. 130 to Chainage No. 260 meters),Please refer Tender documents. ,NA ,"9,39,300",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,"1,416",Nil,Nil,No,1.0,SBI Bank,28-May-2026 09:00 AM,03-Jun-2026 03:30 PM,28-May-2026 09:00 AM,03-Jun-2026 03:00 PM,NA ,NA ,28-May-2026 09:00 AM,03-Jun-2026 03:00 PM,12-Jun-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,1.0,corrigendum,Other,,CE,Ghaziabad Nagar Nigam,AOC,ce,Internal,,Kuldeep Kumar Tamar,18-Jun-2026 01:38 PM,finsummary_2163376.pdf (536.41 KB),Finance,Finance,narendra kumar chaudhary,12-Jun-2026 11:44 AM,,BOQ Comparative Chart,1.0,6154271.0,M/S CHANDRAMOHAN SINGH RAGHUVANSHI,INR,"798,404",Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1154911_10,122/Nirman/2026-27 Date 26.05.2026,Construction of drain in front of dumping ground in Dhabarasi village (Chainage No. 130 to Chainage No. 260 meters),1,6162438,M/S ABRAR AHMAD,02-Jun-2026 06:00 PM,Rejected-Finance,L2,18-Jun-2026 01:38 PM,18-Jun-2026,"INR 798,404",60.0,Kuldeep Kumar Tamar,18-Jun-2026 01:47 PM,10122.pdf (536.00 KB),Technical,Technical,narendra kumar chaudhary,03-Jun-2026 04:26 PM,,CE,Internal,,Kuldeep Kumar Tamar,11-Jun-2026 06:12 PM,12-Jun-2026 11:00 AM,techsummary_2163376.pdf (509.86 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6154271,M/S CHANDRAMOHAN SINGH RAGHUVANSHI,03-Jun-2026 01:41 PM,Accepted-AOC,L1,18-Jun-2026 01:47 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,6164563,M/S MAHESH CHAND CONTRACTORS,03-Jun-2026 01:28 PM,Rejected-AOC,L3,18-Jun-2026 01:47 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,6164681,M/S SACHIN KUMAR CONTRACTOR,03-Jun-2026 02:06 PM,Rejected-AOC,L4,18-Jun-2026 01:47 PM,,,,,,,,,,,,,,,,,,,AOC
