Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||SDSC, sitapur",01/EE/2026-27,2026_UPIDC_1137713_7,Yes,Auction,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,17-Apr-2026 09:00 AM,24-Apr-2026 01:00 PM,17-Apr-2026 09:00 AM,24-Apr-2026 12:00 PM,NA ,NA ,17-Apr-2026 09:00 AM,24-Apr-2026 12:00 PM,05-May-2026 11:00 AM,EXECTUIVE ENGINEER,EXECTUIVE ENGINEER SITAPUR DIVISION SHARDA CANAL SITAPUR,1,Fee/PreQual/Technical,.pdf,Tender Document,Auction of Silt/Sand Placed at left and right bank of Ramkot Dy from km. 14.800 to20.230 (Lot-7),Auction of Silt/Sand Placed at left and right bank of Ramkot Dy from km. 14.800 to20.230 (Lot-7),Please refer Tender documents. ,NA ,"5,46,000",Civil Works - Canal,NA ,Rate Contract,90.0,75.0,Sitapur,261001.0,NA ,NA ,NA ,SITAPUR DIVISION SHARDA CANAL SITAPUR,No ,No,"1,36,500",No,fixed,,Nil,Nil,0.0,Nil,Nil,No,AOC,E.E. Vishal Porwal,Internal,,VISHAL PORWAL,29-Apr-2026 08:34 PM,05-May-2026 11:00 AM,techsummary_2124809.pdf (282.51 KB),Finance,02 Financial bid found in 01 accepted and 01 rejected,VISHAL PORWAL,16-May-2026 07:52 PM,finance_2124809.pdf,BOQ Comparative Chart,E.E. Vishal Porwal,Internal,,VISHAL PORWAL,16-May-2026 07:56 PM,finsummary_2124809.pdf (273.04 KB),Technical,02 Technical bid found in 02 accepted,VISHAL PORWAL,29-Apr-2026 08:25 PM,technical_2124809.pdf,1,6065174,M/S ANIL KUMAR SINGH,23-Apr-2026 08:00 PM,Rejected-Finance,Financlal Bid Rejected Due to Lowest Rate,16-May-2026 07:56 PM,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||SDSC, sitapur",2026_UPIDC_1137713_7,01/EE/2026-27,Auction of Silt/Sand Placed at left and right bank of Ramkot Dy from km. 14.800 to20.230 (Lot-7),1.0,6064646.0,Ram Vilas,INR,"607,308",06-Jun-2026,"INR 607,308",75.0,VISHAL PORWAL,16-Jun-2026 07:40 PM,160.pdf (924.00 KB),Date of start,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6064646,Ram Vilas,24-Apr-2026 11:34 AM,Accepted-AOC,Date of start,16-Jun-2026 07:40 PM,,,,,,,,,,,,,,,,,AOC
