Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
17-Jun-2026,"INR 2,117,011.41",90.0,Jayprakash Dhawan,17-Jun-2026 01:19 PM,BAHERA.pdf (191.00 KB),L1,1,5915431,M/S RAJESH JAISWAL,26-Feb-2026 12:47 PM,Rejected-Finance,L2,01-Jun-2026 03:04 PM,1.0,5915400.0,SHIV SHAKTI CONSTRUCTION COMPANY,INR,"2,117,011.41",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,2026_REDUP_1119278_1,1184/EE RED/ 2025-26 DATE- 17.01.2026,G.P.JUGAIL BAHERADARH JAGDISH GOND KE GHAR SE STEDEUM GATE TAK CC ROAD KA NIRMAN,Technical,attached,Jayprakash Dhawan,09-Apr-2026 01:28 PM,technical_2081228.pdf,EE,Internal,AE DAO,Sanjay Srivastava,01-Jun-2026 03:04 PM,finsummary_2081228.pdf (191.39 KB),Finance,attached,Sanjay Srivastava,01-Jun-2026 03:02 PM,finance_2081228.pdf,BOQ Comparative Chart,EE,Internal,ae dao,Jayprakash Dhawan,10-Apr-2026 08:42 AM,10-Apr-2026 10:00 AM,techsummary_2081228.pdf (178.55 KB),AOC,23-Feb-2026 09:00 AM,28-Feb-2026 02:00 PM,23-Feb-2026 09:00 AM,28-Feb-2026 12:00 PM,NA ,NA ,23-Feb-2026 09:00 AM,28-Feb-2026 12:00 PM,10-Apr-2026 10:00 AM,"50,000",No,fixed,,Nil,Nil,1.0,SBI Bank,"2,354",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE MIRZAPUR CIRCLE||EE SONBHADRA,1184/EE RED/ 2025-26 DATE- 17.01.2026,2026_REDUP_1119278_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED SBR,URMORA SONBHADRA,G.P.JUGAIL BAHERADARH JAGDISH GOND KE GHAR SE STEDEUM GATE TAK CC ROAD KA NIRMAN,G.P.JUGAIL BAHERADARH JAGDISH GOND KE GHAR SE STEDEUM GATE TAK CC ROAD KA NIRMAN,AS PER NIT AND T1 ,NA ,,Civil Works,NA ,Tender,90.0,90.0,JUGAIL,231216.0,NA ,NA ,NA ,EE RED,No ,No,1,Fee/PreQual/Technical,.pdf,tech doc,AOC
,,,,,,,2,5915400,SHIV SHAKTI CONSTRUCTION COMPANY,26-Feb-2026 12:58 PM,Accepted-AOC,L1,17-Jun-2026 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,fc doc,AOC
