Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,FEES AND EMD,16-May-2026 10:00 AM,26-May-2026 02:00 PM,16-May-2026 10:00 AM,26-May-2026 12:00 PM,NA ,NA ,16-May-2026 10:00 AM,26-May-2026 12:00 PM,08-Jun-2026 02:00 PM,EXECUTIVE OFFICER,NP MANKAPUR,529.0,EXECUTIVE OFFICER,NAGAR PANCHAYAT MANKAPUR,No,1,DD - Demand Draft,Directorate of Local Bodies UP||Nagar Panchayat Mankapur Gonda,147/NPM/E-TENDER/2026,2026_DOLBU_1148291_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,NAGAR PANCHAYAT MANKAPUR KE ANTERGAT NIRMIT NALI KI SILT SAFAI KA KARYA,NAGAR PANCHAYAT MANKAPUR KE ANTERGAT NIRMIT NALI KI SILT SAFAI KA KARYA,Please refer Tender documents. ,NA ,"4,48,363",Civil Works - Others,NA ,Tender,60.0,15.0,NP MANKAPUR,271302.0,NA ,NA ,NA ,NP MANKAPUR,No ,No,"44,836",No,percentage,10.0%,EXECUTIVE OFFICER,NAGAR PANCHAYAT MANKAPUR,AOC,DURGESH KUMAR,Internal,ASHWANI SINHA RAGINI VERMA DURGESH KUMAR,Ragini Verma,10-Jun-2026 02:37 PM,finsummary_2149316.pdf (231.35 KB),Technical,ok,Vijay Pratap Singh,03-Jun-2026 12:46 PM,,DURGESH KUMAR,Internal,ASHWANI SINHA RAGINI VERMA DURGESH KUMAR,Ragini Verma,08-Jun-2026 12:03 PM,08-Jun-2026 02:00 PM,techsummary_2149316.pdf (231.34 KB),Finance,open,Ragini Verma,10-Jun-2026 02:33 PM,finance_2149316.pdf,BOQ Comparative Chart,1.0,6142930.0,m/s Gaurav Traders,INR,"447,914.62",Directorate of Local Bodies UP||Nagar Panchayat Mankapur Gonda,2026_DOLBU_1148291_1,147/NPM/E-TENDER/2026,NAGAR PANCHAYAT MANKAPUR KE ANTERGAT NIRMIT NALI KI SILT SAFAI KA KARYA,1.0,6142930.0,m/s Gaurav Traders,26-May-2026 11:16 AM,Accepted-AOC,L1,12-Jun-2026 02:42 PM,12-Jun-2026,"INR 447,914.62",30.0,Ragini Verma,12-Jun-2026 02:42 PM,gauravtradersnali.pdf (251.00 KB),AOC
,,.pdf,TENDER DOC,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6142978.0,SHASHANK SINGH,26-May-2026 11:29 AM,Rejected-Finance,L3,10-Jun-2026 02:37 PM,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6142900.0,Vishnu Pratap Singh,26-May-2026 11:11 AM,Rejected-Finance,L2,10-Jun-2026 02:37 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
