S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,RTGS - RTGS Payment,"7,877",No,fixed,,eo,np naugawan sadat,1.0,Fee/PreQual/Technical,.pdf,fee,472.0,eo,np naugawan sadat,No,Construction of cc road and nali work in ward no 15,ward no 15 jafar abbas ke makan se hussainiya wale imam bade side gali safadar raza gali cc road and nali work,Please refer Tender documents. ,NA ,"3,93,884",Civil Works,NA ,Tender,90.0,30.0,np naugawa sadat,244251.0,NA ,NA ,NA ,np naugawan sadat,No ,No,1.0,opening date change,Date,,Directorate of Local Bodies UP||Nagar Panchayat Naugawansadat Amroha,09/N.P.N.S/E-TENDER/2026-27,2026_DOLBU_1136803_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,eo,np naugawan sadat,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,NA ,NA ,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,04-May-2026 05:55 PM,AOC,eo salil bhardwaj,Internal,eo salil bhardwaj clerk anil kumar je tapesh kumar,Anil Kumar,20-Jun-2026 12:13 PM,finsummary_2122785.pdf (264.50 KB),Technical,all technial qualified bid admitted,Anil Kumar,04-May-2026 05:51 PM,technical_2122785.pdf,eo salil bhardwaj,Internal,eo salil bhardwaj clerk anil kumar je tapesh kumar,Anil Kumar,04-May-2026 05:53 PM,04-May-2026 05:55 PM,techsummary_2122785.pdf (279.79 KB),Finance,all financial qualified bid admitted,Anil Kumar,20-Jun-2026 11:36 AM,finance_2122785.pdf,BOQ Comparative Chart,1.0,6081559.0,M/s Galaxy India Construction,INR,"391,951",Directorate of Local Bodies UP||Nagar Panchayat Naugawansadat Amroha,2026_DOLBU_1136803_1,09/N.P.N.S/E-TENDER/2026-27,Construction of cc road and nali work in ward no 15,1,6082226,alinasircontractor,01-May-2026 06:25 PM,Rejected-Finance,M/s Galaxy India Construction is l1 bidder,20-Jun-2026 12:13 PM,20-Jun-2026,"INR 391,951",30.0,Anil Kumar,20-Jun-2026 12:24 PM,420.pdf (369.00 KB),M/S GALAXY INDIA CONSTRUCTION IS L1 BIDDER,AOC
,,,,,,,,,,.pdf,document,,,,,,,,,,,,,,,,,,,,,,,2.0,fee update,Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6086639,LALIT CONSTRUCTION ENGINEERS,04-May-2026 10:44 AM,Not Admitted-Finance,Not qualified for AOC,20-Jun-2026 11:36 AM,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6081559,M/s Galaxy India Construction,01-May-2026 11:20 AM,Accepted-AOC,M/S galxy india construcition is l1 bidder,20-Jun-2026 12:24 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6086474,sarla devi,04-May-2026 09:43 AM,Not Admitted-Finance,Not qualified for AOC,20-Jun-2026 11:36 AM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6082081,SHENNAZ AKHTER CONTRACTOR,01-May-2026 04:51 PM,Rejected-Finance,M/s Galaxy India Construction is l1 bidder,20-Jun-2026 12:13 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6086563,Sher Momahmad,04-May-2026 10:17 AM,Not Admitted-Finance,Not qualified for AOC,20-Jun-2026 11:36 AM,,,,,,,,AOC
