S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,6161734.0,A K INFRATECH,INR,"93,777.5","U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||BDLGC, etawah",2026_UPIDC_1154039_7,03/EE/2026-27,DESILTING OF TIJORA DRAIN FROM KM 2.500 TO KM. 5.000 AND KM 5.400 TO KM. 7.000,1,6161734,A K INFRATECH,02-Jun-2026 11:56 AM,Accepted-AOC,Complete,19-Jun-2026 02:04 PM,16-Jun-2026,"INR 93,777.5",15.0,RAKESH KUMAR,19-Jun-2026 02:04 PM,Lot7.pdf (875.00 KB),Aoc,Rakesh Kumar,Internal,Rakesh Kumar,RAKESH KUMAR,09-Jun-2026 12:12 PM,finsummary_2161907.pdf (102.57 KB),Technical,5 Bidder Admitted,RAKESH KUMAR,03-Jun-2026 09:00 AM,technical_2161907.pdf,Rakesh Kumar,Internal,Rakesh Kumar,RAKESH KUMAR,03-Jun-2026 09:04 AM,03-Jun-2026 10:30 AM,techsummary_2161907.pdf (102.57 KB),Finance,5 Bidder Admitted,RAKESH KUMAR,03-Jun-2026 12:34 PM,,BOQ Comparative Chart,AOC,DESILTING OF TIJORA DRAIN FROM KM 2.500 TO KM. 5.000 AND KM 5.400 TO KM. 7.000,DESILTING OF TIJORA DRAIN FROM KM 2.500 TO KM. 5.000 AND KM 5.400 TO KM. 7.000,Please refer Tender documents. ,NA ,"2,33,000",Civil Works,NA ,Tender,90.0,15.0,Etawah,206001.0,NA ,NA ,NA ,Etawah,No ,No,"U P Irrigation Department (Civil)||Chief Engineer-Ram Ganga, Kanpur||Irrigation Works Circle, Etawah||BDLGC, etawah",03/EE/2026-27,2026_UPIDC_1154039_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"BDLGC, Etawah",1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Nit,767.0,Nil,Nil,No,27-May-2026 10:00 AM,02-Jun-2026 03:00 PM,27-May-2026 10:00 AM,02-Jun-2026 02:00 PM,NA ,NA ,27-May-2026 10:00 AM,02-Jun-2026 02:00 PM,03-Jun-2026 10:30 AM,"5,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,2,6161751,BABA PRESS AND TRADERS,02-Jun-2026 12:00 PM,Rejected-AOC,Complete,19-Jun-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6160538,Krishna construction,02-Jun-2026 01:40 PM,Rejected-AOC,Complete,19-Jun-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6161447,MAA CONSTRUCTION COMPANY,02-Jun-2026 10:45 AM,Rejected-AOC,Complete,19-Jun-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6161123,SHREE SHYAMLA TRADERS,02-Jun-2026 12:02 PM,Rejected-AOC,Complete,19-Jun-2026 02:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
