Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
17-Jun-2026,"INR 5,662,233.94",30.0,MANOJ KUMAR,19-Jun-2026 04:55 PM,A01TaillessUnit.pdf (4861.00 KB),Award of contract.,Madhyanchal Vidyut Vitran Nigam Ltd||C E - BAREILLY ZONE||S E - Pilibhit,2026_MVVNL_1134601_1,T-01/EDCP/2026-27,T-01/EDCP/2026-27,1.0,6052592.0,DURGESH CHANDEL,INR,"5,662,233.94",1,6053707,Bharat Trading Corporation,24-Apr-2026 10:57 AM,Rejected-AOC,Lowest 5th,19-Jun-2026 04:55 PM,Technical,Technical Summary,BHAVISHYA KUMAR SAXENA,30-Apr-2026 05:02 PM,technical_2118175.pdf,Cheif,Internal,Zonal Committee,BHAVISHYA KUMAR SAXENA,06-May-2026 03:21 PM,finsummary_2118175.pdf (251.93 KB),Finance,Financial Summary,BHAVISHYA KUMAR SAXENA,06-May-2026 03:18 PM,finance_2118175.pdf,BOQ Comparative Chart,Cheif,Internal,Zonal Committee,BHAVISHYA KUMAR SAXENA,30-Apr-2026 05:03 PM,30-Apr-2026 05:05 PM,techsummary_2118175.pdf (251.93 KB),AOC,1.0,Fee,.pdf,Envelope 1A,"3,540",SE EDC,PILIBHIT,No,SE EDC PILIBHIT,"Electricity Distribution Circle, near roadways, Pilibhit",1.0,RTGS - RTGS Payment,1.0,Corrigendom,Date,,T-01/EDCP/2026-27,"For the supply and fixing of 11 KV LT tailless unit Single Double Triple circuit for 160 KVA to 630 KVA distribution transformer at different places under EDD-Pilibhit, Puranpur and Bisalpur in Business Plan 2026-27.",As per tender form ,NA ,"69,95,000",Miscellaneous Works,NA ,Tender,180.0,30.0,Pilibhit/Puranpur/Bisalpur,262001.0,NA ,NA ,NA ,SE EDC PILIBHIT,No ,No,"69,950",No,fixed,,SE EDC,PILIBHIT,Madhyanchal Vidyut Vitran Nigam Ltd||C E - BAREILLY ZONE||S E - Pilibhit,T-01/EDCP/2026-27,2026_MVVNL_1134601_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,08-Apr-2026 03:45 PM,24-Apr-2026 02:00 PM,08-Apr-2026 03:45 PM,24-Apr-2026 12:00 PM,NA ,NA ,08-Apr-2026 03:45 PM,24-Apr-2026 12:00 PM,30-Apr-2026 05:05 PM,AOC
,,,,,,,,,,,,,,,,2,6053454,D N S ENTERPRISES,24-Apr-2026 09:27 AM,Rejected-AOC,Lowest 2nd,19-Jun-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,PreQual/Technical,.pdf,Envelope 1B,,,,,,,,,2.0,Corrigendom,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6052592,DURGESH CHANDEL,24-Apr-2026 11:34 AM,Accepted-AOC,Lowest 1st,19-Jun-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6064338,M/S SURYA ELECTRICALS,23-Apr-2026 01:16 PM,Rejected-AOC,Lowest 4th,19-Jun-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6065300,RAPID POWER SOLUTIONS,23-Apr-2026 09:32 PM,Rejected-AOC,Lowest 3rd,19-Jun-2026 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
