Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.xls,Fee Format,UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,ED_1_435_11022026,2026_SIDC_1123269_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,"24,20,600",No,fixed,,UPSIDA,UPSIDA,Providing 33 KV feeder line from 132 KV Sub-Station Nim Karori to 33/11 KV Sub-Station at I.A. Khimsepur Distt. Farrukhabad.,Providing 33 KV feeder line from 132 KV Sub-Station Nim Karori to 33/11 KV Sub-Station at I.A. Khimsepur Distt. Farrukhabad.,Please refer Tender documents. ,NA ,"10,25,61,601",Electrical Works,NA ,Tender,90.0,365.0,Khimsepur Farrukhbad,209743.0,NA ,NA ,NA ,UPSIDA Kanpur,No ,No,"8,850",UPSIDA,UPSIDA,No,11-Mar-2026 04:00 PM,09-Apr-2026 04:00 PM,11-Mar-2026 04:00 PM,08-Apr-2026 05:00 PM,NA ,NA ,11-Mar-2026 04:00 PM,08-Apr-2026 05:00 PM,07-May-2026 05:35 PM,1.0,Extension of Date,Date,,Senior Manager (E) HQ,"A-1/4 Lakhanpur, Kanpur",AOC,04-Jun-2026,"INR 96,305,343.34",365.0,Ajay Kumar Tiwari,04-Jun-2026 03:43 PM,AOC_1123269.pdf (602.00 KB),"This award of contract issued in favour of M/s Amit Engineering Corporation, Mainpuri is found Ist Lowest of Rs. 11,36,40,305.14 with GST",1,6035218,AMIT ENGINEERING CORPORATION,08-Apr-2026 04:24 PM,Accepted-AOC,Found 1st lowest,04-Jun-2026 03:44 PM,Finance,"Out of 03 participant, all participant are found eligible for opening their price bid in 2nd time e tendering. 1. M/s Sushil Kumar 2. M/s India Supply Corporation 3. M/s Amit Engineering Corporation",Ajay Kumar Tiwari,04-Jun-2026 03:13 PM,,BOQ Comparative Chart,ACEO,Internal,"Finance Controller, PGM, Asstt. General Manager (P), Sr. Manager (E) HQ, Sr. Manager (E) ED-I",Ajay Kumar Tiwari,07-May-2026 05:34 PM,07-May-2026 05:35 PM,techsummary_2092568.pdf (24.17 KB),ACEO,Internal,"Finance Controller, PGM, Asstt. General Manager (P), Sr. Manager (E) HQ, Sr. Manager (E) ED-I",Ajay Kumar Tiwari,04-Jun-2026 03:26 PM,finsummary_2092568.pdf (731.51 KB),UP STATE INDUSTRIAL DEVELOPMENT CORPORATION||KANPUR||EE KANPUR,2026_SIDC_1123269_1,ED_1_435_11022026,Providing 33 KV feeder line from 132 KV Sub-Station Nim Karori to 33/11 KV Sub-Station at I.A. Khimsepur Distt. Farrukhabad.,Technical,"Out of 03 participant, all 03 participant are found eligible for opening their price bid in 2nd time e tendering. 1. M/S SUSHIL KUMAR 2. M/s INDIA SUPPY CORPORATION 3. M/s AMIT ENGINEERING CORPORATION",Ajay Kumar Tiwari,07-May-2026 05:19 PM,,1.0,6035218.0,AMIT ENGINEERING CORPORATION,INR,"96,305,343.34",AOC
,,.pdf,E Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,6023839,INDIA SUPPY CORPORATION,07-Apr-2026 10:14 PM,Rejected-AOC,Found 2nd lowest,04-Jun-2026 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,6022743,M/S Sushil Kumar,08-Apr-2026 04:03 PM,Rejected-AOC,Found 3rd lowest,04-Jun-2026 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
