S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1,6180906,Ismaile Khan Contractor,09-Jun-2026 12:59 AM,Accepted-AOC,Ist Lowest Rate,22-Jun-2026 05:23 PM,1.0,6180906.0,Ismaile Khan Contractor,INR,"216,420.68",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1157161_1,215-5/E.E. BLY/E-Tender/BLY/2026-27 Dt. 04.06.2026,"Construction of Guard Room at Composite School, Khajuria Sampat, Bhuta, Bareilly",20-Jun-2026,"INR 216,420.68",180.0,Bhaskar Mishra,22-Jun-2026 05:23 PM,LOI5.pdf (938.00 KB),Total Contract Value Rs. 216420.68,Vinod Kumar Kardam,Internal,"Vinod Kumar Kardam, Bhaskar Mishra",Bhaskar Mishra,20-Jun-2026 06:41 PM,finsummary_2168358.pdf (742.72 KB),Technical,Technical Bid Opening Summary,Bhaskar Mishra,20-Jun-2026 12:14 PM,technical_2168358.pdf,Vinod Kumar Kardam,Internal,"Vinod Kumar Kardam, Bhaskar Mishra",Bhaskar Mishra,20-Jun-2026 12:39 PM,20-Jun-2026 12:45 PM,techsummary_2168358.pdf (437.24 KB),Finance,Financial Bid Opening Summary,Bhaskar Mishra,20-Jun-2026 06:17 PM,finance_2168358.pdf,BOQ Comparative Chart,AOC,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly","4,400",No,fixed,,EE UPSCIDCO,BAREILLY,04-Jun-2026 06:00 PM,10-Jun-2026 02:00 PM,04-Jun-2026 06:00 PM,10-Jun-2026 01:00 PM,NA ,NA ,04-Jun-2026 06:00 PM,10-Jun-2026 01:00 PM,20-Jun-2026 12:45 PM,1.0,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee, EMD and BOQ",531.0,EE UPSCIDCO,BAREILLY,No,1.0,RTGS - RTGS Payment,U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,215-5/E.E. BLY/E-Tender/BLY/2026-27 Dt. 04.06.2026,2026_SCIDC_1157161_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Construction of Guard Room at Composite School, Khajuria Sampat, Bhuta, Bareilly","Construction of Guard Room at Composite School, Khajuria Sampat, Bhuta, Bareilly","Construction of Guard Room at Composite School, Khajuria Sampat, Bhuta, Bareilly ",NA ,"2,16,659",Civil Works - Buildings,"Const of Guard Room at Composite School, Khajuriya ",Tender,90.0,180.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,AOC
2,6184103,M/s Bagesh And Sons,10-Jun-2026 01:00 AM,Rejected-AOC,IInd Lowest Rate,22-Jun-2026 05:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,6184130,NAZEER AHMAD CONTRACTOR,10-Jun-2026 01:56 AM,Rejected-Technical,"Disqualified, Not fulfil as par NIT Condition",20-Jun-2026 12:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
