Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,04 Technical bid found in 03 accepted and 01 rejected,VISHAL PORWAL,30-May-2026 07:28 PM,technical_2153862.pdf,08-Jun-2026,"INR 255,633",10.0,VISHAL PORWAL,11-Jun-2026 05:59 PM,14.pdf (171.00 KB),Date of start,E.E. Vishal Porwal,Internal,,VISHAL PORWAL,30-May-2026 07:59 PM,02-Jun-2026 11:00 AM,techsummary_2153862.pdf (105.08 KB),"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||SDSC, sitapur",2026_UPIDC_1150316_14,03/EE/2026-27,Clearance of Hajipur Drain From Km. 0.000 to Km 8.000 (Lot-14),1,6137952,BHAGAUTI CONTRACTOR,25-May-2026 11:21 AM,Accepted-AOC,Date of start,11-Jun-2026 05:59 PM,1.0,6137952.0,BHAGAUTI CONTRACTOR,INR,"255,633",Finance,03 Financial bid found in 01 accepted and 02 rejected,VISHAL PORWAL,03-Jun-2026 09:03 PM,finance_2153862.pdf,BOQ Comparative Chart,E.E. Vishal Porwal,Internal,,VISHAL PORWAL,03-Jun-2026 09:17 PM,finsummary_2153862.pdf (196.95 KB),AOC,Clearance of Hajipur Drain From Km. 0.000 to Km 8.000 (Lot-14),Clearance of Hajipur Drain From Km. 0.000 to Km 8.000 (Lot-14),Please refer Tender documents. ,NA ,"3,88,000",Civil Works - Canal,NA ,Tender,90.0,15.0,Sitapur,261001.0,NA ,NA ,NA ,Sitapur Division Sharda Canal Sitapur,No ,No,Executive Engineer,Sitapur Division Sharda Canal Sitapur,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Document,19-May-2026 09:00 AM,25-May-2026 02:00 PM,19-May-2026 09:00 AM,25-May-2026 01:00 PM,NA ,NA ,19-May-2026 09:00 AM,25-May-2026 01:00 PM,02-Jun-2026 11:00 AM,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Sharda, Lucknow||Irrigation Works Circle, Sitapur||SDSC, sitapur",03/EE/2026-27,2026_UPIDC_1150316_14,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"7,760",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,6137581,JAI KARAN SINGH,23-May-2026 03:25 PM,Rejected-Finance,Financlal Bid Rejected Due to Heigher Rate,03-Jun-2026 09:17 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3,6138733,M/s Awdesh kumar mishra,24-May-2026 03:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,30-May-2026 07:28 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,4,6135409,Sushil Kumar,23-May-2026 01:10 PM,Rejected-Finance,Financlal Bid Rejected Due to Heigher Rate,03-Jun-2026 09:17 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
