Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Supply and Fixing of Sluice valve and repair of head wall in Katauli Bundhi.,Supply and Fixing of Sluice valve and repair of head wall in Katauli Bundhi.,As Per NIT ,NA ,,Civil Works,NA ,Tender,90.0,7.0,Katauli,231216.0,NA ,NA ,NA ,O/O Executive Engineer Bundhi Division-2,No ,No,1.0,Corrigendum for Date,Date,,Executive Engineer,O/O Executive Engineer Bundhi Division-2 Robertsganj Sonbhadra,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,Tender Documents,"U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Mirzapur||BD-2, roberts ganj",01/EE/2025-26 LOT-7,2026_UPIDC_1125720_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,589.0,Nil,Nil,No,16-Mar-2026 11:00 AM,23-Mar-2026 12:00 PM,16-Mar-2026 11:00 AM,23-Mar-2026 10:00 AM,NA ,NA ,16-Mar-2026 11:00 AM,23-Mar-2026 10:00 AM,24-Mar-2026 01:15 PM,"23,500",No,fixed,,Nil,Nil,AOC,Finance,Ankleshwar construction company found bellow Bidder,Umesh Kumar Singh,24-Mar-2026 02:58 PM,finance_2098759.pdf,BOQ Comparative Chart,Umesh kumar singh,Internal,,Umesh Kumar Singh,24-Mar-2026 01:06 PM,24-Mar-2026 01:15 PM,techsummary_2098759.pdf (310.22 KB),Technical,Admitted,Umesh Kumar Singh,24-Mar-2026 12:55 PM,technical_2098759.pdf,Umesh kumar singh,Internal,,Umesh Kumar Singh,24-Mar-2026 03:11 PM,finsummary_2098759.pdf (931.88 KB),15-Jun-2026,"INR 189,109.89",7.0,Umesh Kumar Singh,27-Jun-2026 06:45 PM,Katauli_sluice_DOS.pdf (366.00 KB),AOC,1,5996260,ANKALESHWAR CONSTRUCTION COMPANY,22-Mar-2026 06:11 PM,Accepted-AOC,L1,27-Jun-2026 06:46 PM,1.0,5996260.0,ANKALESHWAR CONSTRUCTION COMPANY,INR,"189,109.89","U P Irrigation Department (Civil)||Chief Engineer-Sone, Varanasi||Irrigation Works Circle, Mirzapur||BD-2, roberts ganj",2026_UPIDC_1125720_1,01/EE/2025-26 LOT-7,Supply and Fixing of Sluice valve and repair of head wall in Katauli Bundhi.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5996436,RAM MURTI CONSTRUCTION,22-Mar-2026 08:11 PM,Rejected-AOC,L2,27-Jun-2026 06:46 PM,,,,,,,,,,AOC
