EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"86,000",No,fixed,,E E U P Scidco,Ayodhya,EE up scidco Ayodhya,Behind Ram Janaki Mandir Sahabganj Ayodhya,Construction of ACR room MDM shed and Gard Room of Compsit School of panhauna Block singhpur dist Amethi,Construction of ACR room MDM shed and Gard Room of Compsit School of panhauna Block singhpur dist Amethi,Please refer Tender documents. ,NA ,,Construction Works,Construction of ACR room MDM shed and Gard Room ,Tender,90.0,180.0,Amethi,227405.0,EE office up scidco ,Behind Ram Janaki Mandir Sahabganj Ayodhya ,18-May-2026 11:00 AM ,EE office up scidco,No ,No,1,FDR - Fixed Deposit,1,Fee/PreQual/Technical,.pdf,Construction of ACR room MDM shed and Gard Room of Compsit School of panhauna Block singhpur,16-May-2026 01:25 PM,23-May-2026 11:00 AM,16-May-2026 01:25 PM,23-May-2026 09:00 AM,NA ,NA ,16-May-2026 01:25 PM,23-May-2026 09:00 AM,03-Jun-2026 09:00 AM,"1,652",online,Ayodhya,No,U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,651/EE/Ayo/E-tender/Comp School/2026-27 Date 15.05.2026,2026_SCIDC_1149324_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC,EE,Internal,EE Asst Acct,Jagpal Verma,30-May-2026 04:24 PM,03-Jun-2026 09:00 AM,techsummary_2151610.pdf (1108.43 KB),Finance,Financial Bid opening summary,Jagpal Verma,03-Jun-2026 04:05 PM,finance_2151610.pdf,BOQ Comparative Chart,EE,Internal,EE Asst Acct,Jagpal Verma,03-Jun-2026 04:08 PM,finsummary_2151610.pdf (357.88 KB),Technical,Bid opening summary,Jagpal Verma,30-May-2026 04:23 PM,technical_2151610.pdf,1,6136849,M/S RUDRA CONSTRUCTIONS,23-May-2026 08:56 AM,Accepted-AOC,ok,05-Jun-2026 04:28 PM,1.0,6136849.0,M/S RUDRA CONSTRUCTIONS,INR,"4,282,500",U.P. State Construction and Infrastructure Development Corporation Ltd.||Superintending Engineer (Civil) - Ayodhya,2026_SCIDC_1149324_1,651/EE/Ayo/E-tender/Comp School/2026-27 Date 15.05.2026,Construction of ACR room MDM shed and Gard Room of Compsit School of panhauna Block singhpur dist Amethi,03-Jun-2026,"INR 4,282,500",180.0,Jagpal Verma,05-Jun-2026 04:28 PM,LOI.pdf (677.00 KB),Construction of ACR room MDM shed and Gard Room of Compsit School of panhauna Block singhpur dist Amethi,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,RTGS - RTGS Payment,2,Finance,.xls,financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6136543,M/S SHYAM KRISHNA CONSTRUCTION,22-May-2026 08:11 PM,Rejected-Finance,disqlify,03-Jun-2026 04:08 PM,,,,,,,,,,,,,,,,,AOC
