Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,326_NP Pipiganj_29-05-2026,2026_DOLBU_1155390_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Officer,Nagar Panchayat Pipiganj Gorakhpur,Ward No. 15 me CC Road Work,Ward No. 15 me CC Road Work,Please refer Tender documents. ,NA ,"77,36,000",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Pipiganj Gorakhpur,273165.0,NA ,NA ,NA ,Nagar Panchayat Pipiganj,No ,No,1.0,Suchana,Other,,1.0,RTGS - RTGS Payment,30-May-2026 05:00 PM,09-Jun-2026 03:00 PM,30-May-2026 05:00 PM,09-Jun-2026 03:00 PM,NA ,NA ,30-May-2026 05:00 PM,09-Jun-2026 03:00 PM,18-Jun-2026 04:45 PM,"7,750",Nagar Panchayat Pipiganj,Gorakhpur,No,"7,73,600",No,percentage,10.0%,Nagar Panchayat Pipiganj,Gorakhpur,1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Finance,3 Bids,Anjneya Mishra,23-Jun-2026 02:05 PM,finance_2164454.pdf,BOQ Comparative Chart,Anjneya Mishra,Internal,"Pravin Gupta, Vivek Shrivastwa",Ajeet Yadav,18-Jun-2026 04:44 PM,18-Jun-2026 04:45 PM,techsummary_2164454.pdf (1066.80 KB),Technical,3 Bids,Ajeet Yadav,18-Jun-2026 04:29 PM,technical_2164454.pdf,Ajneya Mishra,Internal,"Pravin Gupta, Vivek Shrivastwa",Anjneya Mishra,23-Jun-2026 02:11 PM,finsummary_2164454.pdf (805.70 KB),24-Jun-2026,"INR 7,735,613.2",90.0,Anjneya Mishra,24-Jun-2026 02:51 PM,1ritikscm3.pdf (513.00 KB),Ritika Enterprises,1.0,6177331.0,M/S RITIKA ENTERPRISES,INR,"7,735,613.2",Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,2026_DOLBU_1155390_1,326_NP Pipiganj_29-05-2026,Ward No. 15 me CC Road Work,1,6177370,A.V.ENTERPRISES,07-Jun-2026 08:06 PM,Rejected-Finance,L2,23-Jun-2026 02:11 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6177331,M/S RITIKA ENTERPRISES,07-Jun-2026 07:35 PM,Accepted-AOC,L1,24-Jun-2026 02:50 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6177463,MS SAUMAYA CONSTRUCTION,07-Jun-2026 09:05 PM,Rejected-Finance,L3,23-Jun-2026 02:11 PM,AOC
