Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
NP Amila CMNSY Yojana,Ward No. 12 Mo. Baba Thanidas Me Mukhya Marg Par Arvind Ke Khet Se Bablu Singh Ka Khet Hote Hue Kishundhari Ke Khet Tak CC Road Ka Karya,Please refer Tender documents. ,"EO Nagar Panchayat Amila, Mau ","38,42,000",Civil Works - Roads,NA ,Tender,90.0,120.0,"EO Nagar Panchayat Amila, Mau",275301.0,NA ,NA ,NA ,"EO Nagar Panchayat Amila, Mau",No ,No,"3,84,200",No,percentage,10.0%,"EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",1.0,RTGS - RTGS Payment,Directorate of Local Bodies UP||Nagar Panchayat Amila Mau,130/NPA/CMNSY/2026-27 17,2026_DOLBU_1155850_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"4,500","EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",No,"EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",01-Jun-2026 05:00 PM,23-Jun-2026 02:00 PM,01-Jun-2026 05:00 PM,22-Jun-2026 11:00 AM,NA ,NA ,01-Jun-2026 05:00 PM,22-Jun-2026 11:00 AM,25-Jun-2026 10:00 AM,AOC,"EO Nagar Panchayat Amila, Mau",Internal,,Rajesh Kumar,27-Jun-2026 08:08 PM,finsummary_2165352.pdf (87.65 KB),Technical,TEC,Rajesh Kumar,24-Jun-2026 12:33 PM,technical_2165352.pdf,"EO Nagar Panchayat Amila, Mau",Internal,,Rajesh Kumar,24-Jun-2026 12:35 PM,25-Jun-2026 10:00 AM,techsummary_2165352.pdf (87.65 KB),Finance,Chart,Rajesh Kumar,27-Jun-2026 08:05 PM,finance_2165352.pdf,BOQ Comparative Chart,Directorate of Local Bodies UP||Nagar Panchayat Amila Mau,2026_DOLBU_1155850_1,130/NPA/CMNSY/2026-27 17,NP Amila CMNSY Yojana,1.0,6210575.0,M/S A K CONSTRUCTION,INR,"3,830,474",1,6210575,M/S A K CONSTRUCTION,21-Jun-2026 05:17 PM,Accepted-AOC,LOW ESTIMATE RATE,27-Jun-2026 08:12 PM,27-Jun-2026,"INR 3,830,474",120.0,Rajesh Kumar,27-Jun-2026 08:11 PM,17AOC.pdf (644.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finencial Bid,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6210427,M/S BHARAT TIWARI,21-Jun-2026 04:17 PM,Rejected-AOC,HIGH ESTIMATE RATE,27-Jun-2026 08:12 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6210663,M/S B S CONSTRUCTION,21-Jun-2026 06:00 PM,Rejected-AOC,HIGH ESTIMATE RATE,27-Jun-2026 08:12 PM,,,,,,,AOC
